"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.376,1.376,210.218,192.432,173.215
0.001,0.241,1.341,1.341,210.066,192.521,173.379
0.002,0.479,1.307,1.307,209.916,192.609,173.541
0.004,0.709,1.274,1.274,209.771,192.694,173.699
0.005,0.929,1.244,1.244,209.632,192.774,173.850
0.006,1.136,1.218,1.218,209.502,192.848,173.991
0.007,1.324,1.195,1.195,209.382,192.913,174.122
0.008,1.492,1.178,1.178,209.275,192.970,174.239
0.009,1.636,1.166,1.166,209.184,193.015,174.340
0.011,1.752,1.161,1.161,209.110,193.048,174.423
0.012,1.838,1.162,1.162,209.055,193.067,174.486
0.013,1.891,1.169,1.169,209.021,193.070,174.526
0.014,1.918,1.180,1.180,209.006,193.061,174.547
0.015,1.935,1.194,1.194,209.007,193.046,174.555
0.016,1.954,1.209,1.209,209.018,193.030,174.555
0.018,1.974,1.225,1.225,209.034,193.020,174.553
0.019,1.992,1.240,1.240,209.053,193.021,174.554
0.020,2.019,1.253,1.253,209.069,193.038,174.566
0.021,2.068,1.262,1.262,209.077,193.079,174.593
0.022,2.153,1.268,1.268,209.074,193.148,174.642
0.023,2.283,1.273,1.273,209.055,193.252,174.718
0.025,2.469,1.278,1.278,209.015,193.396,174.828
0.026,2.710,1.283,1.283,208.954,193.581,174.971
0.027,2.998,1.291,1.291,208.875,193.798,175.142
0.028,3.320,1.303,1.303,208.783,194.039,175.336
0.029,3.665,1.320,1.320,208.681,194.294,175.544
0.030,4.022,1.343,1.343,208.573,194.555,175.762
0.032,4.378,1.374,1.374,208.463,194.813,175.981
0.033,4.722,1.410,1.410,208.356,195.059,176.197
0.034,5.043,1.449,1.449,208.255,195.285,176.402
0.035,5.329,1.488,1.488,208.165,195.481,176.590
0.036,5.569,1.527,1.527,208.090,195.639,176.754
0.037,5.756,1.562,1.562,208.032,195.751,176.891
0.039,5.896,1.591,1.591,207.990,195.822,177.004
0.040,6.001,1.612,1.612,207.964,195.856,177.101
0.041,6.088,1.622,1.622,207.949,195.857,177.187
0.042,6.174,1.622,1.622,207.946,195.830,177.268
0.043,6.272,1.615,1.615,207.951,195.780,177.352
0.044,6.388,1.605,1.605,207.963,195.712,177.445
0.046,6.524,1.594,1.594,207.980,195.630,177.553
0.047,6.683,1.588,1.588,207.999,195.539,177.682
0.048,6.868,1.588,1.588,208.019,195.444,177.839
0.049,7.081,1.599,1.599,208.038,195.350,178.029
0.050,7.321,1.624,1.624,208.056,195.258,178.250
0.051,7.581,1.667,1.667,208.072,195.171,178.494
0.053,7.854,1.725,1.725,208.088,195.089,178.754
0.054,8.132,1.794,1.794,208.104,195.013,179.021
0.055,8.408,1.871,1.871,208.120,194.946,179.288
0.056,8.674,1.950,1.950,208.136,194.887,179.548
0.057,8.924,2.028,2.028,208.154,194.838,179.792
0.058,9.148,2.099,2.099,208.173,194.801,180.012
0.060,9.341,2.160,2.160,208.194,194.777,180.202
0.061,9.495,2.207,2.207,208.217,194.766,180.354
0.062,9.608,2.236,2.236,208.243,194.768,180.465
0.063,9.687,2.250,2.250,208.268,194.779,180.539
0.064,9.738,2.251,2.251,208.292,194.796,180.580
0.065,9.768,2.243,2.243,208.312,194.813,180.595
0.067,9.790,2.228,2.228,208.326,194.828,180.587
0.068,9.818,2.209,2.209,208.334,194.836,180.562
0.069,9.856,2.190,2.190,208.332,194.833,180.524
0.070,9.907,2.173,2.173,208.320,194.815,180.478
0.071,9.973,2.162,2.162,208.295,194.778,180.428
0.072,10.059,2.157,2.157,208.255,194.719,180.381
0.074,10.168,2.157,2.157,208.200,194.635,180.339
0.075,10.297,2.161,2.161,208.133,194.530,180.306
0.076,10.441,2.167,2.167,208.057,194.409,180.285
0.077,10.595,2.174,2.174,207.976,194.278,180.279
0.078,10.754,2.180,2.180,207.895,194.143,180.291
0.079,10.913,2.184,2.184,207.816,194.007,180.323
0.081,11.071,2.184,2.184,207.745,193.878,180.378
0.082,11.228,2.180,2.180,207.683,193.759,180.459
0.083,11.385,2.171,2.171,207.636,193.657,180.569
0.084,11.550,2.158,2.158,207.607,193.577,180.711
0.085,11.734,2.142,2.142,207.599,193.524,180.887
0.086,11.943,2.124,2.124,207.611,193.496,181.094
0.088,12.176,2.105,2.105,207.639,193.491,181.325
0.089,12.430,2.085,2.085,207.679,193.504,181.575
0.090,12.698,2.065,2.065,207.726,193.532,181.838
0.091,12.976,2.047,2.047,207.777,193.572,182.108
0.092,13.255,2.031,2.031,207.827,193.618,182.378
0.093,13.528,2.017,2.017,207.873,193.669,182.643
0.095,13.789,2.006,2.006,207.910,193.719,182.897
0.096,14.031,1.999,1.999,207.935,193.765,183.132
0.097,14.247,1.997,1.997,207.942,193.804,183.345
0.098,14.435,2.000,2.000,207.932,193.834,183.531
0.099,14.599,2.008,2.008,207.906,193.856,183.691
0.100,14.740,2.022,2.022,207.867,193.871,183.826
0.102,14.862,2.043,2.043,207.818,193.880,183.937
0.103,14.968,2.070,2.070,207.762,193.884,184.026
0.104,15.059,2.101,2.101,207.701,193.885,184.094
0.105,15.137,2.132,2.132,207.638,193.883,184.141
0.106,15.205,2.163,2.163,207.576,193.880,184.168
0.107,15.264,2.190,2.190,207.518,193.876,184.177
0.109,15.317,2.210,2.210,207.466,193.874,184.168
0.110,15.366,2.222,2.222,207.422,193.873,184.145
0.111,15.413,2.222,2.222,207.388,193.873,184.112
0.112,15.454,2.210,2.210,207.365,193.872,184.078
0.113,15.485,2.187,2.187,207.353,193.869,184.050
0.114,15.502,2.160,2.160,207.354,193.863,184.034
0.116,15.520,2.134,2.134,207.368,193.852,184.037
0.117,15.564,2.114,2.114,207.396,193.836,184.067
0.118,15.645,2.106,2.106,207.438,193.812,184.132
0.119,15.769,2.115,2.115,207.497,193.781,184.237
0.120,15.944,2.146,2.146,207.572,193.740,184.390
0.121,16.177,2.205,2.205,207.664,193.688,184.597
0.123,16.461,2.294,2.294,207.771,193.629,184.853
0.124,16.785,2.407,2.407,207.889,193.564,185.148
0.125,17.138,2.536,2.536,208.013,193.500,185.472
0.126,17.508,2.674,2.674,208.140,193.438,185.815
0.127,17.885,2.813,2.813,208.265,193.383,186.165
0.128,18.256,2.945,2.945,208.384,193.340,186.514
0.130,18.611,3.062,3.062,208.493,193.310,186.851
0.131,18.940,3.157,3.157,208.589,193.300,187.165
0.132,19.233,3.223,3.223,208.667,193.311,187.447
0.133,19.481,3.257,3.257,208.723,193.349,187.686
0.134,19.686,3.265,3.265,208.756,193.413,187.878
0.135,19.859,3.253,3.253,208.770,193.498,188.029
0.137,20.011,3.226,3.226,208.769,193.600,188.141
0.138,20.151,3.190,3.190,208.756,193.714,188.221
0.139,20.285,3.150,3.150,208.735,193.835,188.273
0.140,20.414,3.111,3.111,208.709,193.959,188.302
0.141,20.539,3.080,3.080,208.682,194.080,188.312
0.142,20.656,3.060,3.060,208.658,194.194,188.308
0.144,20.761,3.052,3.052,208.641,194.297,188.295
0.145,20.849,3.054,3.054,208.634,194.383,188.277
0.146,20.918,3.063,3.063,208.639,194.449,188.259
0.147,20.971,3.076,3.076,208.653,194.498,188.242
0.148,21.013,3.092,3.092,208.672,194.532,188.228
0.149,21.044,3.107,3.107,208.692,194.555,188.220
0.151,21.067,3.121,3.121,208.709,194.569,188.218
0.152,21.082,3.129,3.129,208.720,194.577,188.225
0.153,21.099,3.131,3.131,208.720,194.582,188.241
0.154,21.131,3.128,3.128,208.706,194.588,188.269
0.155,21.185,3.118,3.118,208.673,194.597,188.311
0.156,21.266,3.105,3.105,208.617,194.613,188.367
0.158,21.378,3.087,3.087,208.535,194.638,188.440
0.159,21.519,3.065,3.065,208.431,194.672,188.528
0.160,21.682,3.041,3.041,208.308,194.715,188.627
0.161,21.861,3.014,3.014,208.173,194.766,188.733
0.162,22.051,2.986,2.986,208.032,194.825,188.844
0.163,22.244,2.957,2.957,207.889,194.892,188.956
0.165,22.435,2.928,2.928,207.749,194.965,189.065
0.166,22.619,2.899,2.899,207.620,195.044,189.168
0.167,22.790,2.872,2.872,207.505,195.128,189.262
0.168,22.943,2.847,2.847,207.410,195.218,189.343
0.169,23.077,2.824,2.824,207.341,195.311,189.408
0.170,23.193,2.805,2.805,207.298,195.408,189.456
0.172,23.297,2.791,2.791,207.274,195.504,189.489
0.173,23.394,2.781,2.781,207.263,195.598,189.508
0.174,23.483,2.775,2.775,207.258,195.687,189.515
0.175,23.564,2.769,2.769,207.254,195.768,189.512
0.176,23.637,2.760,2.760,207.244,195.839,189.501
0.177,23.701,2.747,2.747,207.221,195.896,189.483
0.179,23.764,2.726,2.726,207.178,195.938,189.461
0.180,23.840,2.696,2.696,207.111,195.961,189.435
0.181,23.943,2.652,2.652,207.011,195.964,189.409
0.182,24.082,2.593,2.593,206.876,195.944,189.383
0.183,24.252,2.518,2.518,206.713,195.904,189.358
0.184,24.447,2.431,2.431,206.527,195.849,189.335
0.186,24.658,2.336,2.336,206.329,195.781,189.313
0.187,24.878,2.238,2.238,206.124,195.703,189.294
0.188,25.099,2.140,2.140,205.920,195.620,189.277
0.189,25.311,2.048,2.048,205.726,195.535,189.264
0.190,25.508,1.966,1.966,205.548,195.451,189.254
0.191,25.680,1.899,1.899,205.395,195.372,189.248
0.193,25.821,1.849,1.849,205.274,195.301,189.247
0.194,25.923,1.819,1.819,205.191,195.241,189.250
0.195,25.992,1.805,1.805,205.143,195.192,189.257
0.196,26.038,1.802,1.802,205.122,195.152,189.266
0.197,26.070,1.809,1.809,205.120,195.121,189.274
0.198,26.097,1.820,1.820,205.129,195.097,189.281
0.200,26.120,1.834,1.834,205.141,195.077,189.285
0.201,26.138,1.847,1.847,205.148,195.061,189.284
0.202,26.155,1.855,1.855,205.142,195.048,189.275
0.203,26.189,1.855,1.855,205.115,195.035,189.258
0.204,26.253,1.847,1.847,205.060,195.021,189.230
0.205,26.355,1.834,1.834,204.967,195.005,189.190
0.207,26.496,1.815,1.815,204.837,194.987,189.139
0.208,26.670,1.793,1.793,204.675,194.965,189.078
0.209,26.871,1.770,1.770,204.487,194.941,189.011
0.210,27.092,1.745,1.745,204.280,194.914,188.940
0.211,27.325,1.722,1.722,204.061,194.885,188.869
0.212,27.564,1.700,1.700,203.834,194.853,188.798
0.214,27.803,1.681,1.681,203.607,194.820,188.733
0.215,28.034,1.666,1.666,203.386,194.785,188.675
0.216,28.252,1.655,1.655,203.177,194.748,188.626
0.217,28.449,1.649,1.649,202.986,194.710,188.590
0.218,28.623,1.647,1.647,202.818,194.670,188.569
0.219,28.776,1.651,1.651,202.671,194.630,188.560
0.221,28.911,1.661,1.661,202.542,194.591,188.562
0.222,29.031,1.676,1.676,202.428,194.554,188.573
0.223,29.139,1.699,1.699,202.327,194.519,188.592
0.224,29.238,1.726,1.726,202.236,194.488,188.616
0.225,29.330,1.759,1.759,202.153,194.462,188.643
0.226,29.417,1.794,1.794,202.074,194.441,188.672
0.228,29.500,1.830,1.830,201.997,194.427,188.700
0.229,29.583,1.866,1.866,201.919,194.421,188.726
0.230,29.667,1.900,1.900,201.838,194.423,188.749
0.231,29.753,1.931,1.931,201.754,194.433,188.767
0.232,29.840,1.957,1.957,201.669,194.449,188.781
0.233,29.928,1.976,1.976,201.585,194.469,188.791
0.235,30.013,1.990,1.990,201.502,194.492,188.797
0.236,30.096,2.000,2.000,201.423,194.516,188.800
0.237,30.174,2.006,2.006,201.349,194.539,188.800
0.238,30.245,2.011,2.011,201.281,194.561,188.797
0.239,30.308,2.014,2.014,201.221,194.578,188.791
0.240,30.360,2.018,2.018,201.171,194.590,188.782
0.242,30.402,2.023,2.023,201.131,194.596,188.771
0.243,30.433,2.031,2.031,201.103,194.594,188.758
0.244,30.460,2.042,2.042,201.083,194.585,188.743
0.245,30.485,2.054,2.054,201.069,194.570,188.727
0.246,30.513,2.066,2.066,201.059,194.550,188.711
0.247,30.544,2.076,2.076,201.051,194.525,188.695
0.249,30.577,2.081,2.081,201.042,194.496,188.680
0.250,30.614,2.081,2.081,201.031,194.464,188.666
0.251,30.653,2.074,2.074,201.015,194.430,188.655
0.252,30.697,2.057,2.057,200.992,194.394,188.645
0.253,30.747,2.029,2.029,200.960,194.356,188.639
0.254,30.804,1.992,1.992,200.917,194.319,188.636
0.256,30.869,1.949,1.949,200.863,194.283,188.641
0.257,30.943,1.905,1.905,200.798,194.250,188.654
0.258,31.028,1.865,1.865,200.721,194.223,188.679
0.259,31.127,1.831,1.831,200.633,194.203,188.717
0.260,31.241,1.808,1.808,200.534,194.191,188.773
0.261,31.375,1.801,1.801,200.423,194.191,188.848
0.263,31.531,1.813,1.813,200.300,194.202,188.944
0.264,31.714,1.847,1.847,200.166,194.228,189.065
0.265,31.926,1.902,1.902,200.020,194.270,189.212
0.266,32.169,1.972,1.972,199.862,194.330,189.388
0.267,32.440,2.055,2.055,199.695,194.403,189.588
0.268,32.729,2.145,2.145,199.521,194.487,189.804
0.270,33.030,2.240,2.240,199.344,194.576,190.030
0.271,33.333,2.334,2.334,199.166,194.665,190.259
0.272,33.631,2.425,2.425,198.991,194.751,190.483
0.273,33.914,2.508,2.508,198.821,194.829,190.696
0.274,34.175,2.580,2.580,198.658,194.894,190.890
0.275,34.407,2.640,2.640,198.507,194.941,191.058
0.277,34.601,2.688,2.688,198.370,194.966,191.194
0.278,34.756,2.723,2.723,198.249,194.966,191.291
0.279,34.877,2.745,2.745,198.146,194.938,191.349
0.280,34.982,2.753,2.753,198.061,194.886,191.378
0.281,35.083,2.747,2.747,197.992,194.813,191.388
0.282,35.188,2.725,2.725,197.939,194.721,191.388
0.284,35.302,2.688,2.688,197.901,194.614,191.387
0.285,35.423,2.638,2.638,197.878,194.495,191.395
0.286,35.555,2.579,2.579,197.869,194.366,191.421
0.287,35.701,2.516,2.516,197.874,194.231,191.475
0.288,35.868,2.453,2.453,197.891,194.091,191.565
0.289,36.066,2.395,2.395,197.921,193.951,191.702
0.291,36.301,2.347,2.347,197.962,193.813,191.888
0.292,36.571,2.313,2.313,198.011,193.678,192.117
0.293,36.867,2.297,2.297,198.068,193.548,192.376
0.294,37.179,2.302,2.302,198.129,193.424,192.656
0.295,37.498,2.327,2.327,198.193,193.308,192.946
0.296,37.813,2.366,2.366,198.257,193.201,193.235
0.298,38.115,2.415,2.415,198.319,193.105,193.515
0.299,38.392,2.469,2.469,198.376,193.021,193.773
0.300,38.635,2.525,2.525,198.428,192.950,193.999
0.301,38.832,2.577,2.577,198.471,192.895,194.184
0.302,38.976,2.622,2.622,198.504,192.856,194.318
0.303,39.069,2.655,2.655,198.526,192.831,194.405
0.305,39.120,2.673,2.673,198.540,192.817,194.451
0.306,39.136,2.679,2.679,198.547,192.811,194.466
0.307,39.148,2.676,2.676,198.547,192.811,194.454
0.308,39.177,2.665,2.665,198.543,192.813,194.425
0.309,39.218,2.648,2.648,198.535,192.815,194.385
0.310,39.263,2.629,2.629,198.524,192.813,194.342
0.312,39.304,2.610,2.610,198.513,192.805,194.303
0.313,39.339,2.592,2.592,198.501,192.788,194.275
0.314,39.372,2.578,2.578,198.491,192.758,194.266
0.315,39.416,2.568,2.568,198.482,192.716,194.277
0.316,39.478,2.562,2.562,198.473,192.662,194.308
0.317,39.557,2.557,2.557,198.462,192.600,194.354
0.319,39.651,2.553,2.553,198.448,192.529,194.414
0.320,39.757,2.549,2.549,198.429,192.453,194.486
0.321,39.875,2.542,2.542,198.405,192.372,194.568
0.322,40.000,2.533,2.533,198.373,192.289,194.656
0.323,40.133,2.520,2.520,198.332,192.204,194.749
0.324,40.270,2.502,2.502,198.282,192.120,194.845
0.326,40.410,2.480,2.480,198.219,192.039,194.941
0.327,40.553,2.456,2.456,198.145,191.961,195.036
0.328,40.698,2.431,2.431,198.063,191.887,195.128
0.329,40.842,2.407,2.407,197.975,191.816,195.219
0.330,40.985,2.386,2.386,197.886,191.750,195.308
0.331,41.122,2.368,2.368,197.800,191.687,195.394
0.333,41.253,2.355,2.355,197.718,191.627,195.479
0.334,41.376,2.349,2.349,197.646,191.572,195.560
0.335,41.487,2.350,2.350,197.587,191.520,195.639
0.336,41.587,2.354,2.354,197.543,191.473,195.715
0.337,41.676,2.360,2.360,197.520,191.429,195.789
0.338,41.757,2.363,2.363,197.518,191.389,195.859
0.340,41.837,2.362,2.362,197.536,191.354,195.929
