"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.343,1.343,-81.646,-60.418,-2.241
0.001,0.116,1.409,1.408,-81.686,-60.524,-2.263
0.003,0.230,1.475,1.474,-81.726,-60.630,-2.286
0.004,0.344,1.541,1.541,-81.766,-60.733,-2.310
0.006,0.455,1.609,1.608,-81.806,-60.834,-2.337
0.007,0.565,1.677,1.677,-81.847,-60.931,-2.366
0.008,0.671,1.748,1.747,-81.889,-61.023,-2.398
0.010,0.774,1.820,1.820,-81.931,-61.110,-2.434
0.011,0.874,1.894,1.894,-81.975,-61.190,-2.475
0.012,0.971,1.969,1.969,-82.019,-61.263,-2.521
0.014,1.065,2.043,2.044,-82.065,-61.327,-2.573
0.015,1.158,2.116,2.117,-82.112,-61.382,-2.631
0.017,1.251,2.186,2.186,-82.160,-61.428,-2.697
0.018,1.345,2.250,2.251,-82.207,-61.465,-2.768
0.019,1.438,2.308,2.308,-82.252,-61.497,-2.843
0.021,1.530,2.358,2.358,-82.292,-61.525,-2.921
0.022,1.620,2.399,2.398,-82.327,-61.551,-3.000
0.023,1.707,2.433,2.431,-82.352,-61.578,-3.079
0.025,1.790,2.459,2.456,-82.368,-61.608,-3.155
0.026,1.871,2.478,2.474,-82.370,-61.643,-3.228
0.028,1.951,2.491,2.488,-82.359,-61.685,-3.295
0.029,2.036,2.499,2.497,-82.331,-61.736,-3.356
0.030,2.129,2.502,2.502,-82.285,-61.800,-3.408
0.032,2.238,2.502,2.505,-82.220,-61.876,-3.451
0.033,2.363,2.499,2.506,-82.138,-61.963,-3.485
0.034,2.500,2.495,2.507,-82.043,-62.058,-3.511
0.036,2.647,2.491,2.509,-81.939,-62.159,-3.532
0.037,2.799,2.489,2.512,-81.829,-62.263,-3.547
0.039,2.953,2.490,2.519,-81.716,-62.368,-3.559
0.040,3.104,2.496,2.529,-81.605,-62.471,-3.568
0.041,3.249,2.507,2.545,-81.499,-62.568,-3.576
0.043,3.381,2.524,2.566,-81.402,-62.658,-3.584
0.044,3.498,2.544,2.588,-81.317,-62.737,-3.593
0.045,3.595,2.566,2.612,-81.248,-62.804,-3.604
0.047,3.669,2.588,2.635,-81.197,-62.856,-3.619
0.048,3.724,2.608,2.654,-81.161,-62.895,-3.635
0.050,3.765,2.625,2.668,-81.136,-62.923,-3.651
0.051,3.795,2.636,2.676,-81.119,-62.943,-3.664
0.052,3.818,2.642,2.677,-81.104,-62.958,-3.674
0.054,3.838,2.644,2.673,-81.089,-62.970,-3.676
0.055,3.862,2.644,2.667,-81.068,-62.982,-3.671
0.056,3.899,2.645,2.661,-81.038,-62.996,-3.655
0.058,3.954,2.649,2.658,-80.995,-63.015,-3.627
0.059,4.033,2.657,2.661,-80.934,-63.041,-3.584
0.061,4.141,2.673,2.673,-80.851,-63.076,-3.525
0.062,4.280,2.696,2.694,-80.744,-63.124,-3.448
0.063,4.448,2.726,2.722,-80.615,-63.181,-3.358
0.065,4.637,2.759,2.755,-80.469,-63.246,-3.256
0.066,4.842,2.793,2.789,-80.310,-63.317,-3.148
0.067,5.057,2.823,2.821,-80.141,-63.390,-3.038
0.069,5.275,2.848,2.847,-79.968,-63.464,-2.928
0.070,5.490,2.865,2.865,-79.793,-63.537,-2.824
0.072,5.698,2.870,2.871,-79.622,-63.605,-2.730
0.073,5.891,2.865,2.866,-79.458,-63.666,-2.648
0.074,6.064,2.853,2.854,-79.306,-63.719,-2.583
0.076,6.214,2.837,2.838,-79.170,-63.761,-2.540
0.077,6.336,2.821,2.821,-79.052,-63.790,-2.520
0.079,6.437,2.807,2.807,-78.953,-63.806,-2.521
0.080,6.522,2.798,2.798,-78.870,-63.811,-2.540
0.081,6.596,2.799,2.799,-78.803,-63.807,-2.572
0.083,6.665,2.809,2.809,-78.749,-63.794,-2.613
0.084,6.732,2.827,2.827,-78.707,-63.774,-2.660
0.085,6.795,2.848,2.848,-78.676,-63.748,-2.710
0.087,6.856,2.870,2.870,-78.654,-63.718,-2.757
0.088,6.912,2.890,2.890,-78.639,-63.684,-2.798
0.090,6.961,2.904,2.904,-78.630,-63.648,-2.830
0.091,7.002,2.910,2.910,-78.625,-63.611,-2.849
