"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.580,1.580,97.706,-50.381,-2.380
0.006,0.170,1.547,1.547,97.579,-50.415,-2.273
0.013,0.338,1.522,1.522,97.452,-50.447,-2.167
0.019,0.502,1.507,1.507,97.327,-50.478,-2.065
0.025,0.661,1.501,1.501,97.204,-50.506,-1.968
0.031,0.813,1.503,1.503,97.084,-50.531,-1.879
0.038,0.955,1.513,1.513,96.968,-50.553,-1.798
0.044,1.088,1.528,1.528,96.857,-50.569,-1.728
0.050,1.210,1.547,1.547,96.750,-50.580,-1.671
0.057,1.319,1.570,1.570,96.650,-50.585,-1.627
0.063,1.417,1.595,1.595,96.556,-50.583,-1.600
0.069,1.505,1.620,1.620,96.470,-50.572,-1.591
0.075,1.586,1.645,1.645,96.391,-50.553,-1.601
0.082,1.667,1.670,1.670,96.322,-50.524,-1.632
0.088,1.757,1.693,1.693,96.262,-50.486,-1.686
0.094,1.859,1.717,1.717,96.212,-50.438,-1.762
0.101,1.976,1.743,1.743,96.169,-50.382,-1.855
0.107,2.106,1.772,1.772,96.134,-50.319,-1.964
0.113,2.247,1.805,1.805,96.105,-50.252,-2.084
0.119,2.396,1.843,1.843,96.082,-50.181,-2.213
0.126,2.550,1.886,1.886,96.063,-50.108,-2.348
0.132,2.707,1.935,1.935,96.048,-50.035,-2.485
0.138,2.861,1.988,1.988,96.035,-49.963,-2.621
0.145,3.012,2.044,2.044,96.024,-49.893,-2.754
0.151,3.154,2.101,2.101,96.014,-49.827,-2.879
0.157,3.284,2.158,2.158,96.004,-49.767,-2.995
0.164,3.400,2.212,2.212,95.993,-49.713,-3.097
0.170,3.498,2.260,2.260,95.980,-49.668,-3.183
0.176,3.578,2.302,2.302,95.965,-49.632,-3.252
0.182,3.642,2.336,2.336,95.950,-49.603,-3.307
0.189,3.692,2.364,2.364,95.936,-49.581,-3.350
0.195,3.731,2.385,2.385,95.925,-49.564,-3.383
0.201,3.760,2.401,2.401,95.918,-49.551,-3.408
0.208,3.782,2.412,2.412,95.917,-49.542,-3.429
0.214,3.802,2.419,2.419,95.923,-49.534,-3.446
0.220,3.825,2.423,2.423,95.937,-49.528,-3.463
0.226,3.857,2.424,2.424,95.962,-49.522,-3.482
0.233,3.901,2.425,2.425,95.999,-49.515,-3.505
0.239,3.959,2.425,2.425,96.048,-49.506,-3.534
0.245,4.035,2.428,2.428,96.113,-49.494,-3.573
0.252,4.131,2.434,2.434,96.193,-49.478,-3.622
0.258,4.247,2.446,2.446,96.290,-49.457,-3.683
0.264,4.382,2.464,2.464,96.401,-49.432,-3.755
0.270,4.530,2.489,2.489,96.523,-49.406,-3.835
0.277,4.689,2.521,2.521,96.654,-49.377,-3.920
0.283,4.855,2.560,2.560,96.791,-49.349,-4.010
0.289,5.025,2.603,2.603,96.932,-49.321,-4.101
0.296,5.196,2.651,2.651,97.073,-49.296,-4.192
0.302,5.363,2.701,2.701,97.214,-49.274,-4.280
0.308,5.524,2.751,2.751,97.350,-49.256,-4.364
0.314,5.675,2.798,2.798,97.480,-49.244,-4.441
0.321,5.813,2.839,2.839,97.600,-49.239,-4.509
0.327,5.935,2.871,2.871,97.708,-49.241,-4.566
0.333,6.040,2.891,2.891,97.802,-49.252,-4.610
0.340,6.125,2.896,2.896,97.879,-49.273,-4.639
0.346,6.194,2.889,2.889,97.941,-49.301,-4.655
0.352,6.251,2.871,2.871,97.987,-49.333,-4.661
0.358,6.297,2.847,2.847,98.019,-49.367,-4.658
0.365,6.336,2.819,2.819,98.038,-49.399,-4.649
0.371,6.367,2.790,2.790,98.045,-49.427,-4.636
0.377,6.393,2.766,2.766,98.040,-49.447,-4.621
0.384,6.416,2.748,2.748,98.026,-49.458,-4.607
0.390,6.442,2.741,2.741,98.002,-49.455,-4.596
0.396,6.480,2.749,2.749,97.970,-49.437,-4.589
0.403,6.534,2.775,2.775,97.931,-49.399,-4.591
0.409,6.609,2.821,2.821,97.885,-49.340,-4.601
0.415,6.709,2.899,2.899,97.835,-49.257,-4.624
0.421,6.838,3.001,3.001,97.780,-49.147,-4.661
0.428,6.994,3.059,3.059,97.721,-49.011,-4.711
0.434,7.174,3.075,3.075,97.658,-48.854,-4.771
0.440,7.374,3.112,3.112,97.592,-48.678,-4.841
0.447,7.589,3.169,3.169,97.524,-48.489,-4.918
0.453,7.816,3.235,3.235,97.453,-48.290,-4.999
0.459,8.050,3.313,3.313,97.380,-48.084,-5.083
0.465,8.288,3.403,3.403,97.305,-47.875,-5.167
0.472,8.524,3.502,3.502,97.228,-47.667,-5.250
0.478,8.755,3.605,3.605,97.150,-47.464,-5.329
0.484,8.978,3.710,3.710,97.072,-47.269,-5.402
0.491,9.187,3.813,3.813,96.992,-47.087,-5.467
0.497,9.379,3.910,3.910,96.913,-46.920,-5.522
0.503,9.552,3.998,3.998,96.834,-46.773,-5.565
0.509,9.704,4.072,4.072,96.754,-46.647,-5.595
0.516,9.840,4.123,4.123,96.674,-46.539,-5.614
0.522,9.964,4.144,4.144,96.592,-46.446,-5.622
0.528,10.079,4.166,4.166,96.508,-46.368,-5.622
0.535,10.189,4.201,4.201,96.422,-46.300,-5.614
0.541,10.298,4.240,4.240,96.332,-46.241,-5.599
0.547,10.407,4.286,4.286,96.237,-46.189,-5.579
0.553,10.520,4.336,4.336,96.138,-46.140,-5.554
0.560,10.638,4.368,4.368,96.033,-46.094,-5.527
0.566,10.762,4.387,4.387,95.922,-46.047,-5.498
0.572,10.893,4.413,4.413,95.804,-45.997,-5.469
0.579,11.033,4.446,4.446,95.679,-45.943,-5.440
0.585,11.183,4.476,4.476,95.545,-45.880,-5.414
0.591,11.344,4.494,4.494,95.403,-45.809,-5.390
0.597,11.511,4.513,4.513,95.258,-45.729,-5.369
0.604,11.682,4.547,4.547,95.111,-45.642,-5.351
0.610,11.855,4.594,4.594,94.968,-45.547,-5.335
0.616,12.026,4.652,4.652,94.831,-45.445,-5.322
0.623,12.192,4.722,4.722,94.705,-45.337,-5.312
0.629,12.352,4.804,4.804,94.593,-45.223,-5.304
0.635,12.504,4.898,4.898,94.498,-45.105,-5.299
0.642,12.648,5.002,5.002,94.424,-44.982,-5.296
0.648,12.784,5.114,5.114,94.376,-44.855,-5.296
0.654,12.916,5.234,5.234,94.356,-44.725,-5.298
0.660,13.049,5.378,5.378,94.368,-44.592,-5.302
0.667,13.193,5.506,5.506,94.415,-44.456,-5.309
0.673,13.354,5.556,5.556,94.501,-44.320,-5.318
0.679,13.536,5.537,5.537,94.621,-44.183,-5.328
0.686,13.738,5.492,5.492,94.770,-44.047,-5.341
0.692,13.957,5.468,5.468,94.941,-43.913,-5.355
0.698,14.188,5.471,5.471,95.131,-43.782,-5.371
0.704,14.427,5.490,5.490,95.334,-43.656,-5.388
0.711,14.669,5.525,5.525,95.544,-43.536,-5.406
0.717,14.910,5.575,5.575,95.755,-43.423,-5.425
0.723,15.144,5.636,5.636,95.963,-43.318,-5.445
0.730,15.366,5.703,5.703,96.163,-43.223,-5.465
0.736,15.570,5.774,5.774,96.348,-43.138,-5.485
0.742,15.753,5.848,5.848,96.514,-43.065,-5.506
0.748,15.907,5.905,5.905,96.654,-43.006,-5.527
0.755,16.028,5.930,5.930,96.765,-42.960,-5.547
0.761,16.119,5.934,5.934,96.848,-42.928,-5.567
0.767,16.183,5.922,5.922,96.905,-42.907,-5.585
0.774,16.225,5.896,5.896,96.942,-42.894,-5.602
0.780,16.249,5.873,5.873,96.961,-42.889,-5.616
0.786,16.262,5.861,5.861,96.967,-42.889,-5.627
0.792,16.271,5.856,5.856,96.963,-42.891,-5.635
0.799,16.281,5.856,5.856,96.954,-42.894,-5.638
0.805,16.292,5.860,5.860,96.943,-42.896,-5.637
0.811,16.303,5.869,5.869,96.934,-42.894,-5.631
0.818,16.318,5.879,5.879,96.931,-42.887,-5.619
0.824,16.342,5.890,5.890,96.938,-42.872,-5.601
0.830,16.383,5.902,5.902,96.958,-42.847,-5.576
0.836,16.445,5.913,5.913,96.996,-42.811,-5.543
0.843,16.529,5.923,5.923,97.052,-42.763,-5.503
0.849,16.633,5.934,5.934,97.124,-42.704,-5.457
0.855,16.755,5.945,5.945,97.211,-42.635,-5.405
