"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.118,1.118,214.207,178.981,206.131
0.001,0.085,1.135,1.135,214.270,179.006,206.078
0.002,0.170,1.151,1.151,214.332,179.032,206.026
0.004,0.254,1.166,1.166,214.393,179.057,205.975
0.005,0.336,1.180,1.180,214.452,179.084,205.926
0.006,0.415,1.190,1.190,214.510,179.110,205.878
0.007,0.491,1.198,1.198,214.565,179.137,205.832
0.008,0.564,1.202,1.202,214.617,179.165,205.790
0.009,0.633,1.201,1.201,214.666,179.194,205.751
0.011,0.697,1.195,1.195,214.711,179.224,205.716
0.012,0.757,1.184,1.184,214.752,179.254,205.684
0.013,0.814,1.172,1.172,214.791,179.281,205.654
0.014,0.869,1.158,1.158,214.832,179.302,205.622
0.015,0.928,1.146,1.146,214.876,179.311,205.585
0.017,0.995,1.138,1.138,214.926,179.306,205.540
0.018,1.080,1.134,1.134,214.985,179.282,205.484
0.019,1.190,1.139,1.139,215.056,179.236,205.414
0.020,1.332,1.152,1.152,215.141,179.163,205.326
0.021,1.513,1.177,1.177,215.242,179.059,205.219
0.023,1.735,1.210,1.210,215.362,178.923,205.090
0.024,1.991,1.251,1.251,215.496,178.761,204.944
0.025,2.270,1.297,1.297,215.639,178.581,204.787
0.026,2.560,1.346,1.346,215.787,178.391,204.625
0.027,2.850,1.395,1.395,215.935,178.199,204.465
0.028,3.130,1.442,1.442,216.077,178.013,204.312
0.030,3.388,1.486,1.486,216.210,177.841,204.173
0.031,3.614,1.524,1.524,216.327,177.690,204.052
0.032,3.795,1.554,1.554,216.424,177.569,203.958
0.033,3.926,1.578,1.578,216.499,177.484,203.893
0.034,4.011,1.596,1.596,216.552,177.431,203.854
0.036,4.057,1.609,1.609,216.587,177.405,203.837
0.037,4.078,1.617,1.617,216.608,177.402,203.838
0.038,4.101,1.621,1.621,216.617,177.418,203.853
0.039,4.138,1.621,1.621,216.618,177.447,203.876
0.040,4.185,1.619,1.619,216.614,177.484,203.903
0.041,4.235,1.614,1.614,216.608,177.526,203.930
0.043,4.282,1.608,1.608,216.603,177.567,203.953
