"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.898,0.898,212.913,174.676,203.617
0.002,0.227,0.944,0.944,212.732,174.601,203.502
0.004,0.452,0.995,0.995,212.551,174.527,203.391
0.006,0.672,1.053,1.053,212.370,174.457,203.287
0.008,0.886,1.124,1.124,212.189,174.392,203.193
0.010,1.091,1.210,1.210,212.008,174.334,203.114
0.012,1.288,1.314,1.314,211.828,174.285,203.053
0.014,1.477,1.425,1.425,211.647,174.246,203.014
0.016,1.660,1.533,1.533,211.466,174.218,203.000
0.018,1.842,1.625,1.625,211.286,174.204,203.015
0.020,2.028,1.690,1.690,211.106,174.206,203.062
0.023,2.226,1.722,1.722,210.926,174.224,203.142
0.025,2.436,1.731,1.731,210.749,174.255,203.251
0.027,2.656,1.728,1.728,210.575,174.297,203.379
0.029,2.881,1.725,1.725,210.407,174.347,203.519
0.031,3.104,1.732,1.732,210.246,174.402,203.664
0.033,3.318,1.757,1.757,210.095,174.458,203.804
0.035,3.517,1.793,1.793,209.954,174.513,203.934
0.037,3.693,1.833,1.833,209.826,174.563,204.043
0.039,3.839,1.871,1.871,209.712,174.606,204.126
0.041,3.952,1.900,1.900,209.615,174.638,204.174
0.043,4.035,1.916,1.916,209.535,174.658,204.182
0.045,4.105,1.924,1.924,209.471,174.671,204.158
0.047,4.175,1.931,1.931,209.420,174.680,204.110
0.049,4.249,1.941,1.941,209.380,174.690,204.049
0.051,4.324,1.960,1.960,209.350,174.708,203.982
0.053,4.397,1.988,1.988,209.328,174.737,203.920
0.055,4.466,2.014,2.014,209.310,174.782,203.871
0.057,4.539,2.028,2.028,209.296,174.849,203.844
0.059,4.633,2.019,2.019,209.283,174.942,203.849
0.061,4.767,1.978,1.978,209.269,175.067,203.895
0.064,4.950,1.904,1.904,209.252,175.225,203.986
0.066,5.178,1.814,1.814,209.234,175.411,204.116
0.068,5.440,1.723,1.723,209.214,175.618,204.276
0.070,5.727,1.647,1.647,209.195,175.840,204.456
0.072,6.028,1.601,1.601,209.176,176.071,204.649
0.074,6.332,1.588,1.588,209.158,176.303,204.844
0.076,6.628,1.598,1.598,209.143,176.530,205.034
0.078,6.905,1.622,1.622,209.131,176.745,205.208
0.080,7.153,1.649,1.649,209.122,176.942,205.358
0.082,7.361,1.670,1.670,209.119,177.114,205.476
0.084,7.525,1.681,1.681,209.121,177.257,205.556
0.086,7.651,1.688,1.688,209.126,177.374,205.601
0.088,7.748,1.693,1.693,209.132,177.470,205.617
0.090,7.827,1.700,1.700,209.139,177.548,205.609
0.092,7.896,1.714,1.714,209.144,177.612,205.582
0.094,7.964,1.733,1.733,209.145,177.666,205.542
0.096,8.033,1.755,1.754,209.140,177.715,205.493
0.098,8.104,1.774,1.774,209.128,177.761,205.441
0.100,8.177,1.788,1.788,209.108,177.811,205.390
0.102,8.255,1.793,1.794,209.076,177.866,205.347
0.105,8.338,1.790,1.791,209.034,177.930,205.314
0.107,8.429,1.780,1.781,208.982,178.001,205.290
0.109,8.525,1.766,1.767,208.924,178.076,205.275
