"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.813,0.813,186.870,226.665,214.089
0.001,0.087,0.824,0.824,186.908,226.687,214.015
0.002,0.171,0.835,0.835,186.943,226.711,213.941
0.004,0.252,0.847,0.847,186.974,226.737,213.871
0.005,0.328,0.860,0.860,186.999,226.768,213.806
0.006,0.399,0.873,0.873,187.015,226.804,213.747
0.007,0.466,0.889,0.889,187.019,226.847,213.696
0.008,0.532,0.906,0.906,187.011,226.898,213.655
0.010,0.604,0.924,0.924,186.987,226.959,213.625
0.011,0.689,0.946,0.946,186.946,227.031,213.607
0.012,0.793,0.969,0.969,186.885,227.115,213.604
0.013,0.920,0.994,0.994,186.804,227.211,213.616
0.014,1.065,1.022,1.022,186.706,227.316,213.642
0.016,1.223,1.051,1.051,186.597,227.424,213.681
0.017,1.390,1.082,1.082,186.480,227.531,213.732
0.018,1.560,1.114,1.114,186.359,227.634,213.792
0.019,1.727,1.148,1.148,186.238,227.726,213.862
0.020,1.887,1.183,1.183,186.122,227.805,213.939
0.022,2.036,1.218,1.218,186.015,227.865,214.023
0.023,2.171,1.254,1.254,185.921,227.902,214.113
0.024,2.292,1.288,1.288,185.844,227.913,214.206
0.025,2.406,1.321,1.321,185.785,227.896,214.302
0.026,2.520,1.352,1.352,185.741,227.857,214.399
0.028,2.637,1.379,1.379,185.709,227.803,214.498
0.029,2.758,1.403,1.403,185.685,227.738,214.597
0.030,2.880,1.421,1.421,185.665,227.667,214.694
0.031,2.999,1.435,1.435,185.648,227.598,214.790
0.032,3.113,1.444,1.444,185.629,227.534,214.883
0.034,3.218,1.452,1.452,185.606,227.483,214.971
0.035,3.314,1.460,1.460,185.575,227.448,215.055
0.036,3.403,1.471,1.471,185.533,227.436,215.133
0.037,3.495,1.488,1.488,185.480,227.445,215.207
0.039,3.593,1.511,1.511,185.421,227.471,215.281
0.040,3.699,1.545,1.545,185.357,227.509,215.358
0.041,3.814,1.590,1.590,185.293,227.554,215.442
0.042,3.936,1.648,1.648,185.231,227.601,215.536
0.043,4.066,1.715,1.715,185.175,227.646,215.643
0.045,4.205,1.789,1.789,185.127,227.683,215.769
0.046,4.358,1.868,1.868,185.090,227.709,215.915
0.047,4.530,1.948,1.948,185.069,227.717,216.086
0.048,4.728,2.029,2.029,185.064,227.705,216.283
0.049,4.950,2.106,2.106,185.076,227.676,216.502
0.051,5.189,2.177,2.177,185.100,227.635,216.737
0.052,5.438,2.241,2.241,185.135,227.587,216.979
0.053,5.689,2.298,2.298,185.177,227.538,217.221
0.054,5.934,2.349,2.349,185.223,227.493,217.457
0.055,6.164,2.394,2.394,185.272,227.457,217.680
0.057,6.372,2.435,2.435,185.319,227.436,217.881
0.058,6.551,2.472,2.472,185.363,227.436,218.055
0.059,6.697,2.507,2.507,185.401,227.461,218.193
