"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.065,1.065,210.140,188.262,169.137
0.001,0.155,1.077,1.077,210.218,188.370,169.057
0.003,0.310,1.091,1.091,210.295,188.477,168.976
0.004,0.464,1.105,1.105,210.371,188.583,168.894
0.006,0.616,1.123,1.123,210.444,188.685,168.809
0.007,0.765,1.143,1.143,210.515,188.784,168.722
0.009,0.913,1.168,1.168,210.583,188.879,168.631
0.010,1.058,1.198,1.198,210.647,188.967,168.536
0.012,1.201,1.233,1.233,210.707,189.050,168.436
0.013,1.341,1.274,1.274,210.761,189.125,168.330
0.015,1.481,1.319,1.319,210.810,189.192,168.218
0.016,1.619,1.369,1.369,210.852,189.251,168.100
0.018,1.756,1.423,1.423,210.889,189.301,167.978
0.019,1.890,1.481,1.481,210.920,189.343,167.855
0.021,2.020,1.541,1.541,210.947,189.378,167.733
0.022,2.143,1.604,1.604,210.969,189.406,167.615
0.024,2.258,1.667,1.667,210.987,189.428,167.504
0.025,2.362,1.728,1.728,211.002,189.445,167.402
0.027,2.453,1.784,1.784,211.014,189.457,167.312
0.028,2.529,1.834,1.834,211.024,189.465,167.238
0.030,2.587,1.876,1.876,211.031,189.469,167.181
0.031,2.626,1.907,1.907,211.037,189.470,167.142
0.033,2.650,1.928,1.928,211.042,189.468,167.118
0.034,2.663,1.940,1.940,211.044,189.464,167.106
0.036,2.670,1.944,1.944,211.043,189.457,167.103
0.037,2.678,1.943,1.943,211.041,189.450,167.105
0.039,2.689,1.937,1.937,211.035,189.441,167.108
0.040,2.702,1.928,1.928,211.027,189.432,167.110
0.042,2.717,1.918,1.918,211.016,189.422,167.107
0.043,2.737,1.906,1.906,211.001,189.413,167.096
0.045,2.768,1.892,1.892,210.983,189.405,167.073
0.046,2.810,1.877,1.877,210.961,189.399,167.038
0.048,2.860,1.861,1.861,210.936,189.402,166.994
0.049,2.920,1.842,1.842,210.907,189.418,166.944
0.051,2.989,1.821,1.821,210.875,189.452,166.894
0.052,3.072,1.800,1.800,210.839,189.509,166.845
0.054,3.176,1.783,1.783,210.801,189.595,166.801
0.055,3.307,1.776,1.776,210.759,189.714,166.767
0.057,3.472,1.785,1.785,210.714,189.872,166.745
0.058,3.679,1.815,1.815,210.666,190.073,166.740
0.060,3.934,1.872,1.872,210.615,190.323,166.754
0.061,4.234,1.963,1.963,210.562,190.616,166.787
0.063,4.569,2.085,2.085,210.508,190.943,166.837
0.064,4.927,2.229,2.229,210.454,191.291,166.899
0.066,5.294,2.384,2.384,210.403,191.648,166.970
0.067,5.660,2.537,2.537,210.354,192.002,167.046
0.069,6.011,2.677,2.677,210.310,192.342,167.124
0.070,6.336,2.793,2.793,210.272,192.655,167.200
0.072,6.621,2.874,2.874,210.241,192.930,167.271
0.073,6.856,2.920,2.920,210.218,193.155,167.333
0.075,7.027,2.938,2.938,210.205,193.319,167.383
0.076,7.138,2.937,2.937,210.201,193.423,167.420
0.077,7.197,2.926,2.926,210.204,193.477,167.445
0.079,7.218,2.912,2.912,210.211,193.491,167.458
0.080,7.237,2.906,2.906,210.221,193.474,167.460
0.082,7.277,2.913,2.913,210.230,193.436,167.452
0.083,7.330,2.933,2.933,210.238,193.387,167.435
0.085,7.387,2.962,2.962,210.242,193.336,167.409
0.086,7.441,2.995,2.995,210.239,193.293,167.376
0.088,7.490,3.028,3.028,210.229,193.268,167.335
0.089,7.542,3.056,3.056,210.208,193.269,167.288
0.091,7.608,3.075,3.075,210.177,193.295,167.236
0.092,7.691,3.080,3.080,210.137,193.342,167.180
0.094,7.788,3.075,3.075,210.090,193.404,167.122
0.095,7.896,3.059,3.059,210.036,193.476,167.062
0.097,8.010,3.036,3.036,209.978,193.554,167.002
0.098,8.126,3.008,3.008,209.915,193.632,166.944
0.100,8.239,2.978,2.978,209.850,193.705,166.888
0.101,8.345,2.946,2.946,209.783,193.769,166.835
0.103,8.441,2.915,2.915,209.716,193.817,166.788
0.104,8.524,2.886,2.886,209.650,193.848,166.747
0.106,8.600,2.858,2.858,209.585,193.862,166.712
0.107,8.671,2.833,2.833,209.521,193.863,166.681
0.109,8.740,2.810,2.810,209.457,193.856,166.654
0.110,8.808,2.790,2.790,209.394,193.844,166.631
0.112,8.875,2.774,2.774,209.332,193.832,166.610
0.113,8.940,2.761,2.761,209.270,193.823,166.590
0.115,9.005,2.750,2.750,209.209,193.821,166.570
