"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.168,1.168,209.372,187.482,167.879
0.003,0.115,1.234,1.234,209.392,187.509,167.769
0.005,0.229,1.301,1.301,209.413,187.536,167.660
0.008,0.341,1.368,1.368,209.433,187.562,167.553
0.011,0.452,1.438,1.438,209.453,187.589,167.447
0.014,0.560,1.509,1.509,209.474,187.614,167.345
0.016,0.664,1.579,1.579,209.494,187.640,167.245
0.019,0.765,1.647,1.647,209.514,187.664,167.150
0.022,0.860,1.710,1.710,209.534,187.688,167.060
0.025,0.950,1.768,1.768,209.554,187.711,166.975
0.027,1.034,1.819,1.819,209.573,187.732,166.896
0.030,1.111,1.862,1.862,209.593,187.753,166.825
0.033,1.181,1.896,1.896,209.612,187.772,166.760
0.035,1.242,1.922,1.922,209.631,187.790,166.705
0.038,1.295,1.941,1.941,209.649,187.806,166.657
0.041,1.340,1.951,1.951,209.668,187.821,166.619
0.044,1.378,1.956,1.956,209.686,187.834,166.589
0.046,1.409,1.957,1.957,209.703,187.847,166.566
0.049,1.436,1.959,1.959,209.719,187.860,166.549
0.052,1.459,1.964,1.964,209.734,187.872,166.537
0.054,1.479,1.973,1.973,209.748,187.885,166.530
0.057,1.498,1.986,1.986,209.760,187.898,166.525
0.060,1.516,1.999,1.999,209.770,187.913,166.523
0.063,1.534,2.012,2.012,209.779,187.929,166.522
0.065,1.553,2.024,2.024,209.786,187.946,166.521
0.068,1.573,2.033,2.033,209.790,187.966,166.519
0.071,1.596,2.039,2.039,209.793,187.988,166.516
0.074,1.621,2.040,2.040,209.792,188.013,166.511
0.076,1.651,2.036,2.036,209.789,188.041,166.502
0.079,1.685,2.029,2.029,209.782,188.072,166.489
0.082,1.723,2.018,2.018,209.773,188.106,166.474
0.084,1.764,2.005,2.005,209.761,188.141,166.455
0.087,1.809,1.989,1.989,209.745,188.177,166.434
0.090,1.857,1.972,1.972,209.726,188.214,166.411
0.093,1.907,1.956,1.956,209.704,188.251,166.387
0.095,1.959,1.941,1.941,209.678,188.288,166.360
0.098,2.013,1.930,1.930,209.649,188.324,166.333
0.101,2.068,1.925,1.925,209.616,188.359,166.305
0.104,2.125,1.927,1.927,209.579,188.392,166.276
0.106,2.184,1.931,1.931,209.538,188.422,166.247
0.109,2.244,1.931,1.931,209.493,188.450,166.219
0.112,2.305,1.920,1.920,209.444,188.474,166.191
0.114,2.368,1.894,1.894,209.391,188.494,166.163
0.117,2.433,1.859,1.859,209.334,188.512,166.137
0.120,2.501,1.818,1.818,209.274,188.529,166.111
0.123,2.572,1.779,1.779,209.210,188.546,166.087
0.125,2.646,1.742,1.742,209.143,188.565,166.063
0.128,2.723,1.710,1.710,209.072,188.586,166.040
0.131,2.803,1.682,1.682,208.999,188.610,166.018
0.134,2.887,1.659,1.659,208.923,188.640,165.997
0.136,2.975,1.642,1.642,208.845,188.675,165.977
0.139,3.069,1.630,1.630,208.764,188.718,165.959
0.142,3.167,1.625,1.625,208.681,188.770,165.941
0.144,3.273,1.624,1.624,208.597,188.831,165.924
0.147,3.387,1.623,1.623,208.511,188.904,165.909
0.150,3.509,1.615,1.615,208.424,188.988,165.895
0.153,3.640,1.595,1.595,208.336,189.084,165.882
0.155,3.778,1.562,1.562,208.248,189.190,165.871
0.158,3.921,1.524,1.524,208.162,189.304,165.861
0.161,4.068,1.492,1.492,208.077,189.424,165.852
0.163,4.217,1.473,1.473,207.997,189.549,165.845
0.166,4.366,1.470,1.470,207.920,189.677,165.840
0.169,4.513,1.480,1.480,207.848,189.805,165.837
0.172,4.657,1.503,1.503,207.783,189.933,165.836
0.174,4.795,1.536,1.536,207.725,190.059,165.837
0.177,4.927,1.574,1.574,207.674,190.180,165.841
0.180,5.049,1.613,1.613,207.633,190.295,165.846
0.183,5.161,1.649,1.649,207.602,190.403,165.854
0.185,5.262,1.677,1.677,207.583,190.501,165.865
0.188,5.351,1.699,1.699,207.574,190.588,165.878
0.191,5.428,1.717,1.717,207.574,190.665,165.893
0.193,5.496,1.730,1.730,207.581,190.730,165.909
0.196,5.554,1.740,1.740,207.592,190.785,165.925
0.199,5.603,1.746,1.746,207.602,190.829,165.942
0.202,5.641,1.745,1.745,207.611,190.863,165.957
0.204,5.669,1.738,1.738,207.615,190.887,165.971
0.207,5.687,1.730,1.730,207.611,190.901,165.982
0.210,5.705,1.725,1.725,207.597,190.905,165.991
0.213,5.734,1.729,1.729,207.569,190.899,165.995
0.215,5.780,1.742,1.742,207.525,190.884,165.996
0.218,5.848,1.752,1.752,207.462,190.860,165.991
0.221,5.940,1.743,1.743,207.377,190.827,165.980
0.223,6.058,1.701,1.701,207.268,190.784,165.963
0.226,6.203,1.625,1.625,207.134,190.734,165.939
0.229,6.370,1.527,1.527,206.979,190.677,165.909
0.232,6.557,1.424,1.424,206.807,190.616,165.873
0.234,6.758,1.330,1.330,206.621,190.552,165.831
0.237,6.971,1.254,1.254,206.424,190.488,165.783
0.240,7.191,1.202,1.202,206.220,190.424,165.731
0.243,7.414,1.182,1.182,206.012,190.364,165.674
0.245,7.638,1.195,1.195,205.805,190.308,165.612
0.248,7.857,1.228,1.228,205.601,190.258,165.546
0.251,8.070,1.266,1.266,205.405,190.217,165.477
0.253,8.272,1.291,1.291,205.218,190.187,165.404
0.256,8.461,1.296,1.296,205.046,190.168,165.328
0.259,8.634,1.285,1.285,204.892,190.163,165.250
0.262,8.791,1.262,1.262,204.758,190.173,165.170
0.264,8.933,1.232,1.232,204.644,190.197,165.088
0.267,9.064,1.201,1.201,204.548,190.233,165.007
0.270,9.185,1.178,1.178,204.468,190.279,164.929
0.272,9.299,1.170,1.170,204.401,190.332,164.854
0.275,9.405,1.182,1.182,204.345,190.390,164.784
0.278,9.504,1.212,1.212,204.299,190.452,164.721
0.281,9.596,1.252,1.252,204.260,190.514,164.667
0.283,9.678,1.297,1.297,204.227,190.576,164.623
0.286,9.751,1.339,1.339,204.196,190.633,164.591
0.289,9.814,1.377,1.377,204.167,190.685,164.571
0.292,9.868,1.406,1.406,204.136,190.729,164.567
0.294,9.918,1.426,1.426,204.102,190.764,164.578
0.297,9.971,1.434,1.434,204.063,190.785,164.608
0.300,10.038,1.431,1.431,204.018,190.794,164.656
0.302,10.119,1.420,1.420,203.967,190.791,164.719
0.305,10.215,1.400,1.400,203.912,190.778,164.797
0.308,10.322,1.375,1.375,203.855,190.755,164.885
0.311,10.440,1.347,1.347,203.796,190.726,164.982
0.313,10.564,1.320,1.320,203.737,190.691,165.086
0.316,10.692,1.295,1.295,203.679,190.652,165.193
0.319,10.820,1.275,1.275,203.624,190.611,165.301
0.322,10.947,1.259,1.259,203.572,190.569,165.409
0.324,11.068,1.249,1.249,203.525,190.527,165.513
0.327,11.181,1.244,1.244,203.485,190.488,165.611
0.330,11.283,1.242,1.242,203.451,190.453,165.701
0.332,11.371,1.240,1.240,203.427,190.423,165.780
0.335,11.443,1.236,1.236,203.413,190.400,165.846
0.338,11.498,1.230,1.230,203.407,190.385,165.899
0.341,11.540,1.223,1.223,203.409,190.375,165.939
0.343,11.571,1.216,1.216,203.416,190.370,165.969
0.346,11.594,1.209,1.209,203.427,190.370,165.989
0.349,11.611,1.203,1.203,203.439,190.373,166.001
0.351,11.624,1.196,1.196,203.450,190.378,166.005
0.354,11.636,1.189,1.189,203.460,190.386,166.004
0.357,11.648,1.182,1.182,203.464,190.393,165.997
0.360,11.661,1.177,1.177,203.463,190.401,165.986
0.362,11.678,1.178,1.178,203.454,190.407,165.973
0.365,11.703,1.187,1.187,203.434,190.411,165.958
0.368,11.738,1.203,1.203,203.402,190.413,165.943
0.371,11.786,1.218,1.218,203.357,190.410,165.928
0.373,11.849,1.225,1.225,203.296,190.404,165.916
0.376,11.925,1.216,1.216,203.221,190.393,165.906
0.379,12.015,1.196,1.196,203.132,190.380,165.898
0.381,12.118,1.171,1.171,203.031,190.365,165.892
0.384,12.232,1.147,1.147,202.918,190.349,165.889
0.387,12.356,1.131,1.131,202.795,190.333,165.888
0.390,12.488,1.125,1.125,202.663,190.318,165.891
0.392,12.629,1.132,1.132,202.523,190.305,165.896
0.395,12.777,1.155,1.155,202.376,190.295,165.904
0.398,12.930,1.193,1.193,202.223,190.289,165.916
0.401,13.089,1.239,1.239,202.065,190.288,165.931
0.403,13.252,1.289,1.289,201.903,190.292,165.949
0.406,13.418,1.335,1.335,201.739,190.303,165.971
0.409,13.587,1.380,1.380,201.573,190.321,165.996
0.411,13.758,1.428,1.428,201.407,190.347,166.025
0.414,13.930,1.484,1.484,201.241,190.379,166.057
0.417,14.101,1.551,1.551,201.077,190.416,166.090
0.420,14.270,1.625,1.625,200.916,190.457,166.123
0.422,14.436,1.700,1.700,200.760,190.501,166.157
0.425,14.597,1.770,1.770,200.609,190.546,166.189
0.428,14.752,1.832,1.832,200.464,190.592,166.220
0.431,14.898,1.889,1.889,200.328,190.637,166.247
0.433,15.034,1.944,1.944,200.201,190.681,166.271
0.436,15.160,2.001,2.001,200.084,190.721,166.290
0.439,15.272,2.057,2.057,199.979,190.757,166.303
0.441,15.370,2.105,2.105,199.886,190.788,166.311
0.444,15.452,2.141,2.141,199.807,190.812,166.310
0.447,15.519,2.159,2.159,199.743,190.829,166.302
0.450,15.573,2.164,2.164,199.693,190.839,166.285
0.452,15.620,2.160,2.160,199.655,190.845,166.258
0.455,15.665,2.156,2.156,199.627,190.846,166.223
0.458,15.714,2.155,2.155,199.607,190.846,166.177
0.460,15.771,2.157,2.157,199.595,190.845,166.121
0.463,15.838,2.159,2.159,199.588,190.846,166.055
0.466,15.915,2.160,2.160,199.584,190.848,165.978
0.469,16.004,2.160,2.160,199.582,190.855,165.889
0.471,16.105,2.158,2.158,199.580,190.867,165.789
0.474,16.220,2.157,2.157,199.576,190.886,165.676
0.477,16.348,2.157,2.157,199.569,190.914,165.551
0.480,16.491,2.160,2.160,199.557,190.951,165.414
0.482,16.651,2.172,2.172,199.538,191.000,165.263
0.485,16.827,2.196,2.196,199.511,191.061,165.099
0.488,17.017,2.235,2.235,199.479,191.132,164.926
0.490,17.217,2.285,2.285,199.442,191.211,164.747
0.493,17.423,2.345,2.345,199.401,191.296,164.564
0.496,17.632,2.412,2.412,199.359,191.386,164.380
0.499,17.839,2.482,2.482,199.317,191.479,164.199
0.501,18.042,2.557,2.557,199.276,191.573,164.024
0.504,18.237,2.637,2.637,199.238,191.665,163.857
0.507,18.419,2.722,2.722,199.204,191.755,163.702
0.510,18.585,2.805,2.805,199.176,191.840,163.562
0.512,18.732,2.877,2.877,199.154,191.919,163.440
0.515,18.856,2.929,2.929,199.142,191.989,163.338
0.518,18.954,2.951,2.951,199.139,192.049,163.260
0.520,19.025,2.951,2.951,199.148,192.097,163.209
0.523,19.074,2.937,2.937,199.167,192.133,163.182
0.526,19.111,2.918,2.918,199.194,192.158,163.176
0.529,19.147,2.901,2.901,199.224,192.174,163.186
0.531,19.186,2.882,2.882,199.257,192.182,163.207
0.534,19.228,2.858,2.858,199.288,192.182,163.235
0.537,19.270,2.825,2.825,199.315,192.177,163.266
0.540,19.307,2.790,2.790,199.336,192.166,163.295
0.542,19.336,2.767,2.767,199.347,192.152,163.319
0.545,19.357,2.769,2.769,199.345,192.136,163.331
0.548,19.382,2.809,2.809,199.329,192.118,163.329
0.550,19.426,2.875,2.875,199.294,192.100,163.308
0.553,19.500,2.948,2.948,199.239,192.083,163.263
0.556,19.608,3.006,3.006,199.160,192.068,163.190
0.559,19.755,3.038,3.038,199.056,192.057,163.086
0.561,19.937,3.055,3.055,198.930,192.048,162.956
0.564,20.148,3.074,3.074,198.785,192.041,162.803
0.567,20.382,3.109,3.109,198.624,192.037,162.633
0.569,20.634,3.169,3.169,198.450,192.035,162.451
0.572,20.898,3.254,3.254,198.267,192.034,162.260
0.575,21.169,3.361,3.361,198.078,192.034,162.066
0.578,21.440,3.489,3.489,197.887,192.035,161.873
0.580,21.707,3.628,3.628,197.696,192.036,161.687
0.583,21.963,3.767,3.767,197.510,192.038,161.511
0.586,22.204,3.892,3.892,197.330,192.039,161.350
0.589,22.424,3.992,3.992,197.162,192.040,161.210
0.591,22.617,4.062,4.062,197.007,192.040,161.094
0.594,22.780,4.100,4.100,196.869,192.038,161.008
0.597,22.912,4.102,4.102,196.749,192.036,160.951
0.599,23.019,4.072,4.072,196.646,192.032,160.922
0.602,23.107,4.032,4.032,196.559,192.027,160.915
0.605,23.182,4.002,4.002,196.486,192.021,160.929
0.608,23.249,4.002,4.002,196.426,192.014,160.960
0.610,23.316,4.033,4.033,196.378,192.007,161.005
0.613,23.383,4.082,4.082,196.340,192.000,161.060
0.616,23.452,4.133,4.133,196.311,191.992,161.123
0.619,23.522,4.175,4.175,196.291,191.984,161.189
0.621,23.591,4.205,4.205,196.276,191.976,161.256
0.624,23.657,4.227,4.227,196.268,191.968,161.321
0.627,23.716,4.242,4.242,196.263,191.960,161.379
0.629,23.767,4.252,4.252,196.261,191.953,161.429
0.632,23.805,4.259,4.259,196.261,191.946,161.467
0.635,23.833,4.263,4.263,196.262,191.940,161.494
0.638,23.851,4.265,4.265,196.263,191.935,161.511
0.640,23.860,4.264,4.264,196.264,191.931,161.520
0.643,23.864,4.262,4.262,196.265,191.928,161.522
0.646,23.868,4.259,4.259,196.265,191.926,161.519
0.649,23.876,4.255,4.255,196.264,191.925,161.512
0.651,23.886,4.252,4.252,196.260,191.926,161.502
0.654,23.898,4.250,4.250,196.254,191.928,161.492
0.657,23.912,4.250,4.250,196.246,191.931,161.482
0.659,23.927,4.253,4.253,196.234,191.936,161.473
0.662,23.945,4.258,4.258,196.218,191.943,161.469
0.665,23.967,4.265,4.265,196.198,191.952,161.469
0.668,23.995,4.273,4.273,196.173,191.962,161.476
0.670,24.030,4.281,4.281,196.143,191.975,161.489
0.673,24.073,4.290,4.290,196.108,191.989,161.509
0.676,24.122,4.300,4.300,196.067,192.005,161.533
0.678,24.178,4.312,4.312,196.022,192.021,161.562
0.681,24.240,4.325,4.325,195.972,192.039,161.593
0.684,24.308,4.339,4.339,195.916,192.057,161.627
0.687,24.380,4.354,4.354,195.855,192.075,161.662
0.689,24.457,4.370,4.370,195.790,192.094,161.697
0.692,24.537,4.385,4.385,195.719,192.112,161.731
0.695,24.622,4.398,4.398,195.643,192.129,161.763
0.698,24.709,4.406,4.406,195.562,192.146,161.792
0.700,24.800,4.410,4.410,195.476,192.162,161.818
0.703,24.895,4.408,4.408,195.385,192.176,161.838
0.706,24.993,4.401,4.401,195.289,192.189,161.854
0.708,25.094,4.388,4.388,195.189,192.200,161.863
0.711,25.197,4.371,4.371,195.086,192.209,161.868
0.714,25.302,4.354,4.354,194.982,192.217,161.868
0.717,25.407,4.340,4.340,194.877,192.223,161.864
0.719,25.510,4.331,4.331,194.774,192.227,161.857
0.722,25.612,4.328,4.328,194.673,192.230,161.848
0.725,25.709,4.330,4.330,194.576,192.230,161.836
0.728,25.802,4.338,4.338,194.484,192.229,161.824
0.730,25.889,4.349,4.349,194.398,192.227,161.810
0.733,25.968,4.362,4.362,194.320,192.222,161.797
0.736,26.039,4.374,4.374,194.251,192.216,161.784
0.738,26.099,4.381,4.381,194.193,192.208,161.772
0.741,26.148,4.383,4.383,194.146,192.198,161.761
0.744,26.187,4.380,4.380,194.110,192.187,161.753
0.747,26.218,4.373,4.373,194.083,192.174,161.745
0.749,26.246,4.362,4.362,194.060,192.160,161.737
0.752,26.274,4.349,4.349,194.037,192.146,161.728
0.755,26.307,4.334,4.334,194.010,192.131,161.717
0.757,26.347,4.318,4.318,193.976,192.117,161.702
0.760,26.398,4.303,4.303,193.930,192.104,161.682
0.763,26.466,4.290,4.290,193.869,192.091,161.657
0.766,26.554,4.283,4.283,193.788,192.081,161.624
0.768,26.666,4.282,4.282,193.683,192.072,161.584
0.771,26.807,4.291,4.291,193.551,192.065,161.535
0.774,26.981,4.307,4.307,193.387,192.061,161.476
0.777,27.193,4.330,4.330,193.188,192.060,161.405
0.779,27.445,4.357,4.357,192.950,192.062,161.322
0.782,27.736,4.388,4.388,192.675,192.068,161.227
0.785,28.058,4.425,4.425,192.371,192.077,161.121
0.787,28.405,4.467,4.467,192.044,192.090,161.006
0.790,28.769,4.517,4.517,191.702,192.104,160.882
0.793,29.143,4.580,4.580,191.352,192.122,160.751
0.796,29.520,4.666,4.666,191.001,192.141,160.615
0.798,29.891,4.783,4.783,190.658,192.163,160.474
0.801,30.251,4.932,4.932,190.329,192.185,160.331
0.804,30.592,5.088,5.088,190.021,192.210,160.186
0.807,30.908,5.228,5.228,189.742,192.235,160.040
0.809,31.191,5.324,5.324,189.500,192.261,159.895
0.812,31.438,5.367,5.367,189.301,192.288,159.753
0.815,31.642,5.365,5.365,189.153,192.315,159.614
0.817,31.807,5.327,5.327,189.061,192.342,159.480
0.820,31.942,5.263,5.263,189.018,192.368,159.355
0.823,32.058,5.185,5.185,189.014,192.392,159.241
0.826,32.162,5.108,5.108,189.042,192.414,159.143
0.828,32.256,5.046,5.046,189.090,192.431,159.064
0.831,32.339,5.010,5.010,189.149,192.444,159.008
0.834,32.408,5.002,5.002,189.211,192.452,158.978
0.837,32.462,5.019,5.019,189.264,192.453,158.977
0.839,32.511,5.060,5.060,189.301,192.446,159.010
0.842,32.583,5.122,5.122,189.311,192.431,159.079
0.845,32.699,5.198,5.198,189.285,192.407,159.189
0.847,32.872,5.282,5.282,189.213,192.372,159.343
0.850,33.115,5.368,5.368,189.086,192.327,159.545
0.853,33.437,5.456,5.456,188.895,192.269,159.798
0.856,33.840,5.548,5.548,188.637,192.199,160.100
0.858,34.313,5.649,5.649,188.322,192.119,160.444
0.861,34.845,5.764,5.764,187.961,192.031,160.823
0.864,35.421,5.901,5.901,187.561,191.936,161.228
0.866,36.030,6.073,6.073,187.134,191.836,161.650
0.869,36.659,6.290,6.290,186.689,191.733,162.082
0.872,37.294,6.560,6.560,186.236,191.629,162.515
0.875,37.924,6.880,6.880,185.785,191.525,162.942
0.877,38.535,7.249,7.249,185.345,191.423,163.353
0.880,39.114,7.661,7.661,184.926,191.326,163.742
0.883,39.649,8.080,8.080,184.539,191.234,164.099
0.886,40.126,8.435,8.435,184.193,191.151,164.418
0.888,40.534,8.652,8.652,183.898,191.076,164.688
0.891,40.860,8.671,8.671,183.662,191.013,164.904
0.894,41.107,8.536,8.536,183.484,190.960,165.067
0.896,41.283,8.338,8.338,183.358,190.917,165.182
0.899,41.397,8.169,8.169,183.278,190.881,165.255
0.902,41.459,8.097,8.097,183.236,190.852,165.290
0.905,41.484,8.107,8.107,183.229,190.828,165.294
0.907,41.520,8.169,8.169,183.248,190.808,165.271
0.910,41.581,8.253,8.253,183.288,190.790,165.228
0.913,41.664,8.338,8.338,183.342,190.774,165.169
0.916,41.759,8.419,8.419,183.405,190.757,165.099
0.918,41.860,8.491,8.491,183.470,190.739,165.025
0.921,41.958,8.549,8.549,183.532,190.718,164.951
0.924,42.047,8.592,8.592,183.583,190.692,164.883
0.926,42.120,8.619,8.619,183.617,190.661,164.826
0.929,42.178,8.630,8.630,183.631,190.623,164.784
0.932,42.230,8.626,8.626,183.625,190.580,164.756
0.935,42.286,8.612,8.612,183.600,190.533,164.739
0.937,42.352,8.595,8.595,183.557,190.483,164.731
0.940,42.431,8.580,8.580,183.497,190.432,164.732
0.943,42.523,8.573,8.573,183.422,190.380,164.739
0.946,42.626,8.573,8.573,183.332,190.329,164.750
0.948,42.741,8.580,8.580,183.229,190.281,164.763
0.951,42.866,8.595,8.595,183.113,190.236,164.776
0.954,42.999,8.614,8.614,182.987,190.197,164.789
0.956,43.140,8.632,8.632,182.850,190.163,164.798
0.959,43.288,8.645,8.645,182.704,190.136,164.802
0.962,43.442,8.648,8.648,182.551,190.118,164.799
0.965,43.603,8.644,8.644,182.391,190.110,164.788
0.967,43.770,8.636,8.636,182.225,190.112,164.767
0.970,43.944,8.628,8.628,182.054,190.123,164.738
0.973,44.125,8.624,8.624,181.878,190.142,164.701
0.975,44.313,8.627,8.627,181.697,190.169,164.657
0.978,44.508,8.638,8.638,181.512,190.203,164.607
0.981,44.709,8.660,8.660,181.323,190.243,164.552
0.984,44.915,8.693,8.693,181.132,190.288,164.491
0.986,45.126,8.738,8.738,180.937,190.338,164.426
0.989,45.341,8.791,8.791,180.740,190.392,164.358
