"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.860,0.860,239.130,227.965,241.288
0.001,0.179,0.896,0.896,239.069,228.059,241.148
0.003,0.357,0.933,0.933,239.008,228.152,241.009
0.004,0.533,0.969,0.969,238.946,228.245,240.872
0.005,0.706,1.005,1.005,238.886,228.337,240.740
0.006,0.874,1.040,1.040,238.826,228.429,240.612
0.008,1.038,1.075,1.075,238.766,228.520,240.490
0.009,1.195,1.110,1.110,238.707,228.610,240.376
0.010,1.345,1.144,1.144,238.650,228.700,240.270
0.012,1.487,1.177,1.177,238.593,228.788,240.174
0.013,1.621,1.210,1.210,238.538,228.875,240.089
0.014,1.745,1.242,1.242,238.484,228.960,240.016
0.016,1.861,1.274,1.274,238.431,229.044,239.956
0.017,1.968,1.306,1.306,238.380,229.127,239.912
0.018,2.067,1.337,1.337,238.331,229.207,239.882
0.019,2.159,1.368,1.368,238.282,229.285,239.867
0.021,2.248,1.399,1.399,238.234,229.359,239.862
0.022,2.333,1.429,1.429,238.185,229.429,239.866
0.023,2.416,1.457,1.457,238.135,229.493,239.877
0.025,2.495,1.482,1.482,238.082,229.551,239.891
0.026,2.572,1.504,1.504,238.027,229.602,239.906
0.027,2.647,1.521,1.521,237.967,229.645,239.921
0.029,2.720,1.531,1.531,237.902,229.678,239.931
0.030,2.795,1.535,1.535,237.832,229.702,239.936
0.031,2.873,1.530,1.530,237.755,229.714,239.932
0.032,2.958,1.519,1.519,237.671,229.715,239.916
0.034,3.055,1.503,1.503,237.579,229.704,239.888
0.035,3.168,1.486,1.486,237.478,229.678,239.844
0.036,3.297,1.469,1.469,237.370,229.640,239.785
0.038,3.441,1.457,1.457,237.254,229.591,239.714
0.039,3.598,1.450,1.450,237.134,229.530,239.633
0.040,3.766,1.453,1.453,237.010,229.460,239.545
0.042,3.942,1.467,1.467,236.884,229.381,239.452
0.043,4.123,1.490,1.490,236.757,229.294,239.355
0.044,4.308,1.521,1.521,236.631,229.201,239.258
0.045,4.494,1.556,1.556,236.506,229.102,239.162
0.047,4.678,1.592,1.592,236.385,228.998,239.069
0.048,4.859,1.627,1.627,236.268,228.891,238.983
0.049,5.033,1.659,1.659,236.157,228.782,238.905
0.051,5.199,1.684,1.684,236.054,228.671,238.838
0.052,5.355,1.700,1.700,235.960,228.559,238.783
0.053,5.501,1.709,1.709,235.874,228.449,238.740
0.054,5.637,1.712,1.712,235.795,228.342,238.709
0.056,5.765,1.711,1.711,235.723,228.239,238.689
0.057,5.883,1.707,1.707,235.656,228.142,238.678
0.058,5.992,1.702,1.702,235.593,228.054,238.676
0.060,6.091,1.697,1.697,235.533,227.975,238.681
0.061,6.180,1.694,1.694,235.476,227.907,238.693
0.062,6.261,1.694,1.694,235.419,227.853,238.711
0.064,6.333,1.696,1.696,235.363,227.813,238.733
0.065,6.400,1.700,1.700,235.306,227.790,238.759
0.066,6.466,1.705,1.705,235.247,227.785,238.788
0.067,6.537,1.710,1.710,235.185,227.800,238.819
0.069,6.618,1.716,1.716,235.120,227.837,238.851
0.070,6.713,1.720,1.720,235.050,227.893,238.883
0.071,6.820,1.724,1.724,234.978,227.966,238.915
0.073,6.939,1.727,1.727,234.905,228.053,238.947
0.074,7.065,1.729,1.729,234.830,228.150,238.977
0.075,7.196,1.731,1.731,234.755,228.254,239.007
0.077,7.331,1.734,1.734,234.681,228.362,239.035
0.078,7.464,1.738,1.738,234.609,228.472,239.061
0.079,7.594,1.745,1.745,234.540,228.579,239.085
0.080,7.717,1.755,1.755,234.474,228.681,239.106
0.082,7.831,1.767,1.767,234.413,228.775,239.124
0.083,7.931,1.783,1.783,234.357,228.857,239.139
0.084,8.015,1.801,1.801,234.307,228.924,239.150
0.086,8.081,1.820,1.820,234.265,228.974,239.157
0.087,8.129,1.838,1.838,234.229,229.006,239.160
