"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.860,0.860,239.130,227.965,241.288
0.001,0.201,0.886,0.886,239.015,228.039,241.140
0.002,0.401,0.912,0.912,238.903,228.113,240.993
0.003,0.596,0.938,0.938,238.794,228.190,240.849
0.004,0.787,0.964,0.964,238.693,228.270,240.709
0.006,0.971,0.990,0.990,238.600,228.354,240.575
0.007,1.147,1.016,1.016,238.518,228.444,240.448
0.008,1.315,1.042,1.042,238.450,228.540,240.328
0.009,1.475,1.067,1.067,238.397,228.644,240.218
0.010,1.629,1.093,1.093,238.361,228.756,240.119
0.011,1.779,1.118,1.118,238.346,228.878,240.032
0.012,1.931,1.144,1.144,238.352,229.011,239.959
0.013,2.090,1.172,1.172,238.383,229.156,239.901
0.014,2.262,1.201,1.201,238.439,229.313,239.858
0.016,2.448,1.234,1.234,238.517,229.479,239.829
0.017,2.647,1.270,1.270,238.614,229.653,239.812
0.018,2.857,1.311,1.311,238.725,229.830,239.805
0.019,3.074,1.358,1.358,238.848,230.009,239.805
0.020,3.294,1.411,1.411,238.978,230.187,239.811
0.021,3.515,1.471,1.471,239.113,230.360,239.821
0.022,3.730,1.537,1.537,239.249,230.527,239.833
0.023,3.936,1.607,1.607,239.381,230.685,239.844
0.024,4.129,1.679,1.679,239.508,230.830,239.853
0.026,4.304,1.751,1.751,239.624,230.961,239.858
0.027,4.457,1.821,1.821,239.727,231.074,239.856
0.028,4.586,1.888,1.888,239.815,231.168,239.848
0.029,4.694,1.949,1.949,239.889,231.245,239.834
0.030,4.784,2.002,2.002,239.951,231.307,239.815
0.031,4.858,2.047,2.047,240.003,231.356,239.792
0.032,4.921,2.083,2.083,240.046,231.394,239.768
0.033,4.973,2.111,2.111,240.082,231.423,239.743
0.034,5.018,2.132,2.132,240.114,231.444,239.718
0.036,5.057,2.148,2.148,240.142,231.459,239.696
0.037,5.092,2.160,2.160,240.168,231.471,239.676
0.038,5.124,2.169,2.169,240.194,231.481,239.662
0.039,5.155,2.176,2.176,240.222,231.492,239.653
0.040,5.189,2.182,2.182,240.253,231.504,239.651
0.041,5.228,2.189,2.189,240.289,231.520,239.656
0.042,5.274,2.197,2.197,240.329,231.538,239.668
0.043,5.326,2.207,2.207,240.373,231.559,239.685
0.044,5.385,2.218,2.218,240.423,231.583,239.707
0.046,5.450,2.232,2.232,240.477,231.608,239.733
0.047,5.521,2.249,2.249,240.536,231.635,239.761
0.048,5.597,2.268,2.268,240.600,231.664,239.791
0.049,5.679,2.291,2.291,240.669,231.695,239.822
0.050,5.765,2.318,2.318,240.743,231.727,239.853
0.051,5.856,2.349,2.349,240.823,231.759,239.883
0.052,5.951,2.384,2.384,240.908,231.792,239.910
0.053,6.051,2.421,2.421,240.998,231.826,239.935
0.054,6.154,2.460,2.460,241.093,231.860,239.957
0.056,6.259,2.499,2.499,241.190,231.895,239.977
0.057,6.365,2.537,2.537,241.289,231.928,239.994
0.058,6.470,2.573,2.573,241.387,231.961,240.011
0.059,6.572,2.607,2.607,241.483,231.994,240.026
0.060,6.670,2.636,2.636,241.575,232.025,240.041
0.061,6.763,2.659,2.659,241.661,232.055,240.057
0.062,6.849,2.678,2.678,241.740,232.083,240.073
0.063,6.926,2.692,2.692,241.811,232.108,240.091
0.064,6.993,2.702,2.702,241.871,232.132,240.110
0.066,7.049,2.711,2.711,241.918,232.153,240.132
0.067,7.095,2.719,2.719,241.952,232.171,240.157
0.068,7.133,2.727,2.727,241.975,232.187,240.184
0.069,7.166,2.736,2.736,241.988,232.199,240.211
0.070,7.196,2.748,2.748,241.995,232.208,240.239
0.071,7.223,2.763,2.763,241.999,232.213,240.265
0.072,7.247,2.782,2.782,242.003,232.216,240.289
0.073,7.268,2.805,2.805,242.009,232.215,240.309
0.074,7.288,2.830,2.830,242.021,232.210,240.324
0.076,7.312,2.857,2.857,242.042,232.202,240.333
0.077,7.347,2.885,2.885,242.073,232.190,240.336
0.078,7.396,2.913,2.913,242.120,232.174,240.330
0.079,7.464,2.941,2.941,242.183,232.154,240.315
0.080,7.554,2.968,2.968,242.266,232.130,240.289
0.081,7.663,2.993,2.993,242.366,232.103,240.254
0.082,7.789,3.016,3.016,242.480,232.073,240.211
0.083,7.926,3.037,3.037,242.604,232.041,240.161
0.084,8.072,3.056,3.056,242.735,232.007,240.106
0.086,8.223,3.073,3.073,242.869,231.972,240.047
0.087,8.376,3.088,3.088,243.004,231.937,239.984
0.088,8.526,3.100,3.100,243.135,231.902,239.920
0.089,8.670,3.111,3.111,243.260,231.868,239.856
0.090,8.805,3.121,3.121,243.374,231.835,239.793
0.091,8.927,3.128,3.128,243.475,231.804,239.731
0.092,9.033,3.134,3.134,243.560,231.775,239.674
0.093,9.121,3.138,3.138,243.625,231.750,239.621
0.094,9.193,3.141,3.141,243.673,231.727,239.572
0.096,9.252,3.142,3.142,243.706,231.708,239.527
0.097,9.302,3.141,3.141,243.726,231.691,239.485
0.098,9.344,3.139,3.139,243.736,231.678,239.446
0.099,9.382,3.136,3.136,243.738,231.666,239.410
0.100,9.417,3.131,3.131,243.734,231.658,239.376
0.101,9.451,3.124,3.124,243.727,231.652,239.343
0.102,9.484,3.117,3.117,243.719,231.648,239.312
0.103,9.515,3.108,3.108,243.713,231.647,239.282
0.104,9.545,3.098,3.098,243.710,231.647,239.252
0.106,9.575,3.088,3.088,243.714,231.650,239.222
0.107,9.607,3.077,3.077,243.725,231.655,239.192
0.108,9.642,3.066,3.066,243.742,231.661,239.162
0.109,9.680,3.055,3.055,243.764,231.669,239.132
0.110,9.720,3.043,3.043,243.791,231.677,239.104
0.111,9.761,3.033,3.033,243.821,231.685,239.077
0.112,9.802,3.023,3.023,243.852,231.692,239.052
0.113,9.842,3.013,3.013,243.885,231.699,239.029
0.114,9.881,3.005,3.005,243.917,231.705,239.008
0.116,9.916,2.997,2.997,243.947,231.708,238.990
0.117,9.947,2.991,2.991,243.975,231.710,238.976
0.118,9.974,2.985,2.985,243.999,231.709,238.965
0.119,9.994,2.981,2.981,244.018,231.705,238.959
0.120,10.010,2.978,2.978,244.032,231.697,238.956
0.121,10.024,2.977,2.977,244.042,231.688,238.956
0.122,10.037,2.977,2.977,244.048,231.676,238.957
0.123,10.049,2.979,2.979,244.051,231.664,238.958
0.124,10.062,2.980,2.980,244.053,231.652,238.959
0.126,10.073,2.982,2.982,244.054,231.641,238.957
0.127,10.084,2.984,2.984,244.054,231.631,238.953
0.128,10.096,2.985,2.985,244.056,231.623,238.943
0.129,10.112,2.984,2.984,244.059,231.619,238.929
0.130,10.135,2.981,2.981,244.065,231.618,238.907
0.131,10.166,2.975,2.975,244.074,231.621,238.877
0.132,10.208,2.967,2.967,244.087,231.630,238.838
0.133,10.260,2.956,2.956,244.104,231.644,238.791
0.134,10.322,2.942,2.942,244.125,231.662,238.736
0.136,10.390,2.926,2.926,244.150,231.683,238.676
0.137,10.465,2.908,2.908,244.178,231.707,238.611
0.138,10.543,2.888,2.888,244.208,231.732,238.544
0.139,10.623,2.867,2.867,244.241,231.758,238.475
0.140,10.703,2.845,2.845,244.275,231.784,238.408
0.141,10.782,2.822,2.822,244.311,231.809,238.342
0.142,10.857,2.799,2.799,244.347,231.832,238.280
0.143,10.928,2.776,2.776,244.385,231.853,238.223
0.144,10.993,2.753,2.753,244.422,231.869,238.173
0.146,11.051,2.730,2.730,244.459,231.882,238.131
0.147,11.102,2.707,2.707,244.495,231.890,238.096
0.148,11.148,2.685,2.685,244.531,231.895,238.067
0.149,11.190,2.664,2.664,244.565,231.897,238.041
0.150,11.230,2.644,2.644,244.598,231.897,238.018
0.151,11.269,2.625,2.625,244.629,231.895,237.996
0.152,11.307,2.607,2.607,244.658,231.893,237.972
0.153,11.345,2.590,2.590,244.684,231.891,237.944
0.154,11.385,2.575,2.575,244.709,231.890,237.912
0.156,11.429,2.561,2.561,244.730,231.890,237.874
0.157,11.479,2.547,2.547,244.748,231.892,237.827
0.158,11.538,2.534,2.534,244.763,231.897,237.770
0.159,11.608,2.521,2.521,244.774,231.906,237.701
0.160,11.688,2.508,2.508,244.783,231.917,237.623
0.161,11.777,2.496,2.496,244.792,231.928,237.536
0.162,11.871,2.483,2.483,244.803,231.940,237.442
0.163,11.971,2.470,2.470,244.818,231.951,237.345
0.164,12.073,2.456,2.456,244.838,231.958,237.244
0.166,12.178,2.441,2.441,244.865,231.962,237.143
0.167,12.284,2.424,2.424,244.902,231.960,237.044
0.168,12.391,2.404,2.404,244.950,231.951,236.948
0.169,12.502,2.381,2.381,245.011,231.935,236.857
0.170,12.618,2.356,2.356,245.087,231.909,236.774
0.171,12.742,2.326,2.326,245.180,231.873,236.700
0.172,12.878,2.293,2.293,245.290,231.825,236.636
0.173,13.027,2.255,2.255,245.416,231.766,236.582
0.174,13.186,2.215,2.215,245.553,231.698,236.536
0.176,13.355,2.172,2.172,245.697,231.622,236.496
0.177,13.529,2.129,2.129,245.846,231.538,236.461
0.178,13.706,2.085,2.085,245.994,231.447,236.430
0.179,13.882,2.042,2.042,246.140,231.352,236.401
0.180,14.056,2.002,2.002,246.279,231.252,236.372
0.181,14.224,1.965,1.965,246.408,231.149,236.342
0.182,14.383,1.931,1.931,246.523,231.044,236.310
0.183,14.531,1.902,1.902,246.620,230.938,236.274
0.184,14.668,1.877,1.877,246.697,230.832,236.232
0.186,14.795,1.855,1.855,246.751,230.728,236.183
0.187,14.918,1.836,1.836,246.786,230.624,236.127
0.188,15.041,1.818,1.818,246.809,230.523,236.062
0.189,15.167,1.801,1.801,246.822,230.423,235.987
0.190,15.296,1.785,1.785,246.831,230.325,235.902
0.191,15.432,1.769,1.769,246.840,230.230,235.806
0.192,15.575,1.751,1.751,246.855,230.138,235.697
0.193,15.728,1.734,1.734,246.879,230.049,235.575
0.194,15.893,1.718,1.718,246.918,229.964,235.439
0.196,16.074,1.708,1.708,246.976,229.882,235.288
0.197,16.276,1.705,1.705,247.058,229.804,235.122
0.198,16.502,1.712,1.712,247.168,229.731,234.938
0.199,16.755,1.732,1.732,247.308,229.662,234.739
0.200,17.030,1.769,1.769,247.473,229.596,234.529
0.201,17.322,1.824,1.824,247.658,229.534,234.311
0.202,17.627,1.900,1.900,247.859,229.475,234.091
0.203,17.937,1.998,1.998,248.071,229.418,233.871
0.204,18.249,2.114,2.114,248.290,229.362,233.657
0.206,18.555,2.243,2.243,248.511,229.307,233.452
0.207,18.850,2.380,2.380,248.729,229.253,233.261
0.208,19.127,2.520,2.520,248.939,229.199,233.088
0.209,19.383,2.657,2.657,249.137,229.144,232.937
0.210,19.610,2.788,2.788,249.319,229.088,232.812
0.211,19.805,2.908,2.908,249.479,229.030,232.718
0.212,19.967,3.010,3.010,249.616,228.970,232.655
0.213,20.103,3.092,3.092,249.730,228.906,232.618
0.214,20.217,3.153,3.153,249.821,228.838,232.604
0.216,20.317,3.193,3.193,249.889,228.766,232.610
0.217,20.410,3.212,3.212,249.935,228.688,232.631
0.218,20.504,3.210,3.210,249.959,228.603,232.664
0.219,20.605,3.187,3.187,249.960,228.510,232.705
0.220,20.717,3.144,3.144,249.940,228.410,232.751
0.221,20.843,3.080,3.080,249.899,228.300,232.797
0.222,20.984,2.996,2.996,249.836,228.181,232.840
0.223,21.143,2.893,2.893,249.752,228.051,232.876
0.224,21.321,2.775,2.775,249.648,227.909,232.901
0.226,21.516,2.648,2.648,249.527,227.756,232.915
0.227,21.727,2.518,2.518,249.396,227.592,232.917
0.228,21.948,2.392,2.392,249.260,227.417,232.906
0.229,22.178,2.274,2.274,249.125,227.232,232.884
0.230,22.413,2.172,2.172,248.998,227.038,232.850
