"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.617,2.617,187.441,222.285,215.602
0.001,0.143,2.594,2.594,187.341,222.383,215.624
0.003,0.285,2.572,2.572,187.240,222.482,215.647
0.004,0.427,2.551,2.551,187.140,222.580,215.668
0.005,0.567,2.529,2.529,187.041,222.676,215.690
0.006,0.705,2.508,2.508,186.943,222.771,215.710
0.008,0.841,2.488,2.488,186.845,222.864,215.730
0.009,0.974,2.469,2.469,186.750,222.954,215.748
0.010,1.103,2.450,2.450,186.655,223.041,215.766
0.011,1.229,2.432,2.432,186.562,223.124,215.782
0.013,1.351,2.416,2.416,186.472,223.204,215.796
0.014,1.468,2.402,2.402,186.384,223.281,215.809
0.015,1.583,2.389,2.389,186.298,223.357,215.823
0.016,1.696,2.380,2.380,186.217,223.433,215.838
0.018,1.808,2.373,2.373,186.140,223.512,215.856
0.019,1.921,2.369,2.369,186.068,223.597,215.878
0.020,2.037,2.369,2.369,186.001,223.688,215.906
0.021,2.159,2.373,2.373,185.941,223.787,215.942
0.023,2.289,2.380,2.380,185.888,223.898,215.985
0.024,2.431,2.388,2.388,185.843,224.022,216.039
0.025,2.588,2.395,2.395,185.805,224.159,216.103
0.026,2.755,2.402,2.402,185.775,224.307,216.175
0.028,2.928,2.406,2.406,185.751,224.461,216.252
0.029,3.101,2.406,2.406,185.732,224.614,216.330
0.030,3.268,2.400,2.400,185.716,224.761,216.406
0.031,3.422,2.388,2.388,185.701,224.898,216.475
0.033,3.556,2.370,2.370,185.688,225.019,216.534
0.034,3.666,2.348,2.348,185.674,225.117,216.579
0.035,3.745,2.323,2.323,185.657,225.189,216.608
0.037,3.790,2.297,2.297,185.638,225.229,216.615
0.038,3.817,2.271,2.271,185.615,225.235,216.602
0.039,3.857,2.247,2.247,185.590,225.216,216.576
0.040,3.911,2.225,2.225,185.566,225.180,216.545
0.042,3.970,2.208,2.208,185.544,225.134,216.516
0.043,4.025,2.192,2.192,185.527,225.086,216.496
0.044,4.068,2.177,2.177,185.516,225.044,216.495
0.045,4.105,2.159,2.159,185.513,225.016,216.519
0.047,4.163,2.136,2.136,185.521,225.011,216.577
0.048,4.267,2.105,2.105,185.542,225.036,216.676
0.049,4.430,2.065,2.065,185.576,225.099,216.822
0.050,4.648,2.012,2.012,185.623,225.195,217.011
0.052,4.907,1.946,1.946,185.681,225.319,217.232
0.053,5.194,1.868,1.868,185.745,225.461,217.473
0.054,5.496,1.784,1.784,185.814,225.615,217.724
0.055,5.798,1.698,1.698,185.884,225.771,217.972
0.057,6.086,1.614,1.614,185.952,225.922,218.207
0.058,6.346,1.536,1.536,186.016,226.061,218.419
0.059,6.566,1.470,1.470,186.073,226.180,218.594
0.060,6.730,1.418,1.418,186.120,226.269,218.723
0.062,6.832,1.385,1.385,186.155,226.327,218.800
0.063,6.884,1.370,1.370,186.180,226.356,218.835
0.064,6.901,1.367,1.367,186.195,226.364,218.838
0.065,6.921,1.375,1.375,186.203,226.357,218.821
0.067,6.952,1.388,1.388,186.204,226.340,218.796
0.068,6.982,1.405,1.405,186.201,226.321,218.773
0.069,7.002,1.420,1.420,186.195,226.305,218.763
0.071,7.021,1.431,1.431,186.187,226.298,218.779
0.072,7.074,1.434,1.434,186.179,226.307,218.832
0.073,7.179,1.430,1.430,186.173,226.337,218.932
0.074,7.334,1.420,1.420,186.170,226.388,219.078
0.076,7.529,1.407,1.407,186.172,226.454,219.262
0.077,7.755,1.390,1.390,186.182,226.529,219.475
0.078,8.001,1.373,1.373,186.201,226.608,219.707
0.079,8.257,1.356,1.356,186.231,226.683,219.950
0.081,8.515,1.342,1.342,186.274,226.750,220.195
0.082,8.765,1.332,1.332,186.333,226.803,220.432
0.083,9.000,1.325,1.325,186.409,226.835,220.652
0.084,9.217,1.323,1.323,186.504,226.842,220.847
0.086,9.418,1.326,1.326,186.619,226.818,221.010
0.087,9.611,1.334,1.334,186.751,226.769,221.142
0.088,9.801,1.346,1.346,186.894,226.700,221.247
0.089,9.990,1.364,1.364,187.043,226.617,221.328
0.091,10.177,1.387,1.387,187.194,226.525,221.390
0.092,10.358,1.416,1.416,187.342,226.432,221.435
0.093,10.528,1.449,1.449,187.482,226.342,221.467
0.094,10.680,1.485,1.485,187.610,226.261,221.490
0.096,10.809,1.523,1.523,187.720,226.196,221.508
0.097,10.908,1.560,1.560,187.807,226.152,221.523
0.098,10.979,1.596,1.596,187.872,226.130,221.539
0.099,11.029,1.629,1.629,187.920,226.124,221.554
0.101,11.069,1.658,1.658,187.955,226.130,221.571
0.102,11.103,1.680,1.680,187.983,226.142,221.588
0.103,11.138,1.697,1.697,188.007,226.156,221.607
0.105,11.174,1.710,1.710,188.035,226.167,221.628
0.106,11.215,1.721,1.721,188.070,226.169,221.651
0.107,11.270,1.730,1.730,188.117,226.157,221.676
0.108,11.347,1.738,1.738,188.181,226.126,221.704
0.110,11.453,1.748,1.748,188.268,226.073,221.735
0.111,11.583,1.760,1.760,188.373,226.005,221.768
0.112,11.730,1.776,1.776,188.494,225.930,221.803
0.113,11.885,1.795,1.795,188.627,225.858,221.838
0.115,12.041,1.816,1.816,188.769,225.800,221.873
0.116,12.195,1.840,1.840,188.914,225.763,221.906
0.117,12.344,1.864,1.864,189.060,225.759,221.937
0.118,12.493,1.889,1.889,189.202,225.797,221.964
0.120,12.656,1.914,1.914,189.337,225.885,221.988
0.121,12.851,1.937,1.937,189.461,226.034,222.006
0.122,13.089,1.958,1.958,189.572,226.244,222.018
0.123,13.367,1.978,1.978,189.670,226.504,222.026
0.125,13.675,1.996,1.996,189.756,226.800,222.030
0.126,14.003,2.013,2.013,189.831,227.119,222.031
0.127,14.337,2.030,2.030,189.895,227.447,222.030
0.128,14.667,2.047,2.047,189.950,227.772,222.028
0.130,14.979,2.064,2.064,189.996,228.081,222.025
0.131,15.260,2.082,2.082,190.033,228.359,222.023
0.132,15.497,2.102,2.102,190.063,228.594,222.022
0.134,15.679,2.122,2.122,190.087,228.775,222.024
0.135,15.808,2.143,2.143,190.104,228.903,222.028
0.136,15.894,2.164,2.164,190.117,228.987,222.034
0.137,15.944,2.185,2.185,190.126,229.036,222.043
0.139,15.969,2.205,2.205,190.132,229.058,222.053
0.140,15.983,2.224,2.224,190.137,229.062,222.065
0.141,15.999,2.242,2.242,190.142,229.057,222.079
0.142,16.016,2.257,2.257,190.148,229.051,222.095
0.144,16.035,2.271,2.271,190.155,229.053,222.112
0.145,16.063,2.285,2.285,190.166,229.072,222.130
0.146,16.110,2.299,2.299,190.180,229.112,222.150
0.147,16.175,2.315,2.315,190.198,229.171,222.170
0.149,16.255,2.335,2.335,190.218,229.245,222.191
0.150,16.345,2.358,2.358,190.241,229.330,222.212
0.151,16.442,2.387,2.387,190.265,229.422,222.233
0.152,16.543,2.422,2.422,190.290,229.517,222.253
0.154,16.642,2.463,2.463,190.316,229.611,222.272
0.155,16.737,2.507,2.507,190.342,229.700,222.290
0.156,16.823,2.552,2.552,190.368,229.780,222.307
0.157,16.896,2.597,2.597,190.393,229.848,222.322
0.159,16.957,2.639,2.639,190.417,229.902,222.334
0.160,17.007,2.676,2.676,190.440,229.945,222.345
0.161,17.047,2.707,2.707,190.461,229.978,222.354
0.162,17.079,2.730,2.730,190.481,230.002,222.362
0.164,17.104,2.744,2.744,190.499,230.019,222.369
0.165,17.125,2.752,2.752,190.516,230.030,222.374
0.166,17.142,2.755,2.755,190.530,230.037,222.378
0.168,17.157,2.754,2.754,190.543,230.042,222.382
0.169,17.169,2.751,2.751,190.554,230.046,222.385
0.170,17.179,2.747,2.747,190.563,230.050,222.387
0.171,17.188,2.744,2.744,190.570,230.055,222.390
0.173,17.197,2.744,2.744,190.576,230.062,222.393
0.174,17.208,2.746,2.746,190.580,230.070,222.398
0.175,17.221,2.751,2.751,190.584,230.081,222.405
0.176,17.238,2.758,2.758,190.586,230.094,222.414
0.178,17.259,2.766,2.766,190.589,230.111,222.427
0.179,17.285,2.774,2.774,190.591,230.131,222.444
0.180,17.317,2.784,2.784,190.593,230.156,222.465
0.181,17.357,2.794,2.794,190.595,230.185,222.491
0.183,17.402,2.803,2.803,190.597,230.218,222.522
0.184,17.453,2.811,2.811,190.600,230.255,222.556
0.185,17.506,2.819,2.819,190.603,230.293,222.594
0.186,17.562,2.826,2.826,190.606,230.333,222.633
0.188,17.617,2.832,2.832,190.609,230.371,222.672
0.189,17.670,2.836,2.836,190.611,230.408,222.710
0.190,17.721,2.839,2.839,190.613,230.442,222.747
0.191,17.766,2.840,2.840,190.614,230.473,222.782
0.193,17.805,2.839,2.839,190.615,230.498,222.812
0.194,17.837,2.837,2.837,190.614,230.517,222.837
0.195,17.862,2.832,2.832,190.613,230.531,222.858
0.196,17.883,2.827,2.827,190.611,230.544,222.874
0.198,17.901,2.820,2.820,190.609,230.557,222.886
0.199,17.918,2.812,2.812,190.607,230.572,222.894
0.200,17.939,2.804,2.804,190.605,230.592,222.899
0.202,17.966,2.795,2.795,190.604,230.619,222.900
0.203,18.003,2.786,2.786,190.602,230.656,222.900
0.204,18.051,2.778,2.778,190.602,230.704,222.896
0.205,18.113,2.770,2.770,190.602,230.766,222.891
0.207,18.189,2.763,2.763,190.603,230.841,222.884
0.208,18.276,2.758,2.758,190.604,230.929,222.877
0.209,18.372,2.755,2.755,190.603,231.024,222.870
0.210,18.473,2.754,2.754,190.600,231.125,222.864
0.212,18.577,2.757,2.757,190.593,231.229,222.861
0.213,18.682,2.763,2.763,190.582,231.333,222.861
0.214,18.784,2.771,2.771,190.566,231.433,222.865
0.215,18.882,2.781,2.781,190.543,231.528,222.874
0.217,18.974,2.790,2.790,190.513,231.614,222.889
0.218,19.061,2.796,2.796,190.475,231.689,222.911
0.219,19.143,2.798,2.798,190.430,231.752,222.939
0.220,19.224,2.794,2.794,190.379,231.805,222.972
0.222,19.303,2.783,2.783,190.325,231.849,223.009
0.223,19.380,2.761,2.761,190.269,231.885,223.048
0.224,19.455,2.732,2.732,190.213,231.915,223.087
0.225,19.526,2.695,2.695,190.158,231.938,223.127
0.227,19.592,2.656,2.656,190.107,231.956,223.165
0.228,19.652,2.615,2.615,190.061,231.971,223.200
0.229,19.703,2.575,2.575,190.023,231.984,223.231
0.230,19.745,2.540,2.540,189.991,231.995,223.257
0.232,19.780,2.511,2.511,189.967,232.007,223.278
0.233,19.808,2.491,2.491,189.947,232.020,223.295
0.234,19.834,2.481,2.481,189.931,232.036,223.306
0.236,19.861,2.479,2.479,189.916,232.057,223.313
0.237,19.892,2.483,2.483,189.902,232.085,223.315
0.238,19.930,2.493,2.493,189.886,232.120,223.313
0.239,19.979,2.506,2.506,189.868,232.164,223.306
0.241,20.039,2.521,2.521,189.846,232.219,223.294
0.242,20.114,2.537,2.537,189.818,232.287,223.279
0.243,20.201,2.552,2.552,189.784,232.366,223.260
0.244,20.299,2.565,2.565,189.746,232.453,223.241
0.246,20.404,2.576,2.576,189.705,232.547,223.222
0.247,20.513,2.584,2.584,189.661,232.646,223.205
0.248,20.624,2.589,2.589,189.615,232.746,223.192
0.249,20.734,2.590,2.590,189.569,232.846,223.186
0.251,20.842,2.587,2.587,189.523,232.943,223.187
0.252,20.944,2.579,2.579,189.479,233.036,223.198
0.253,21.041,2.566,2.566,189.438,233.120,223.221
0.254,21.133,2.547,2.547,189.400,233.196,223.256
0.256,21.223,2.524,2.524,189.365,233.263,223.304
0.257,21.314,2.496,2.496,189.332,233.321,223.366
0.258,21.409,2.464,2.464,189.303,233.372,223.441
0.259,21.511,2.427,2.428,189.275,233.415,223.529
0.261,21.622,2.388,2.388,189.250,233.452,223.631
0.262,21.743,2.345,2.345,189.226,233.482,223.745
0.263,21.875,2.300,2.300,189.203,233.506,223.874
0.264,22.020,2.252,2.252,189.182,233.525,224.015
0.266,22.177,2.204,2.204,189.161,233.539,224.171
0.267,22.345,2.155,2.155,189.141,233.549,224.337
0.268,22.519,2.108,2.107,189.122,233.556,224.509
0.270,22.694,2.062,2.062,189.104,233.559,224.684
0.271,22.867,2.020,2.020,189.088,233.561,224.856
0.272,23.032,1.982,1.981,189.073,233.561,225.021
0.273,23.186,1.948,1.948,189.060,233.561,225.174
0.275,23.323,1.920,1.921,189.048,233.560,225.311
0.276,23.440,1.898,1.899,189.039,233.560,225.427
0.277,23.531,1.879,1.881,189.032,233.562,225.517
0.278,23.593,1.865,1.867,189.028,233.565,225.579
0.280,23.631,1.855,1.857,189.025,233.569,225.617
0.281,23.649,1.848,1.849,189.024,233.575,225.635
0.282,23.656,1.844,1.844,189.023,233.579,225.639
0.283,23.662,1.842,1.842,189.021,233.583,225.634
0.285,23.671,1.842,1.840,189.018,233.585,225.626
0.286,23.678,1.843,1.839,189.012,233.585,225.621
0.287,23.688,1.844,1.839,189.004,233.581,225.623
0.288,23.708,1.844,1.838,188.993,233.573,225.638
0.290,23.748,1.841,1.835,188.976,233.560,225.671
0.291,23.807,1.836,1.831,188.956,233.542,225.724
0.292,23.883,1.827,1.825,188.932,233.521,225.793
0.293,23.971,1.813,1.815,188.905,233.497,225.873
0.295,24.066,1.795,1.803,188.876,233.473,225.961
0.296,24.165,1.773,1.788,188.847,233.450,226.052
0.297,24.262,1.750,1.773,188.818,233.428,226.142
0.298,24.353,1.727,1.757,188.790,233.410,226.227
0.300,24.434,1.706,1.742,188.765,233.396,226.303
0.301,24.501,1.688,1.729,188.742,233.388,226.365
0.302,24.550,1.674,1.719,188.723,233.388,226.411
0.304,24.584,1.667,1.712,188.708,233.394,226.440
0.305,24.608,1.666,1.710,188.694,233.406,226.456
0.306,24.629,1.671,1.710,188.682,233.422,226.461
0.307,24.652,1.679,1.712,188.669,233.441,226.458
0.309,24.679,1.689,1.715,188.655,233.462,226.449
0.310,24.709,1.699,1.718,188.638,233.485,226.438
0.311,24.741,1.708,1.719,188.618,233.507,226.426
0.312,24.775,1.714,1.718,188.593,233.528,226.417
0.314,24.811,1.716,1.714,188.562,233.546,226.412
0.315,24.852,1.712,1.705,188.525,233.561,226.414
0.316,24.898,1.703,1.694,188.481,233.574,226.422
0.317,24.950,1.690,1.681,188.432,233.584,226.437
0.319,25.008,1.672,1.666,188.378,233.592,226.456
0.320,25.073,1.651,1.651,188.319,233.598,226.481
0.321,25.142,1.625,1.636,188.256,233.604,226.511
0.322,25.217,1.596,1.622,188.189,233.608,226.544
0.324,25.297,1.564,1.610,188.119,233.612,226.582
0.325,25.380,1.530,1.600,188.047,233.616,226.623
0.326,25.467,1.495,1.591,187.972,233.620,226.668
0.327,25.558,1.459,1.584,187.895,233.625,226.715
0.329,25.653,1.426,1.578,187.814,233.632,226.765
0.330,25.754,1.395,1.571,187.729,233.643,226.817
0.331,25.859,1.368,1.564,187.640,233.658,226.873
0.332,25.972,1.347,1.557,187.546,233.679,226.930
0.334,26.092,1.332,1.548,187.445,233.706,226.990
0.335,26.220,1.324,1.538,187.338,233.741,227.051
0.336,26.358,1.323,1.526,187.224,233.784,227.115
0.338,26.507,1.325,1.512,187.101,233.838,227.181
0.339,26.667,1.330,1.497,186.971,233.901,227.248
0.340,26.834,1.337,1.481,186.836,233.972,227.315
0.341,27.004,1.344,1.463,186.699,234.047,227.382
0.343,27.172,1.350,1.444,186.563,234.124,227.446
0.344,27.336,1.353,1.423,186.432,234.199,227.508
0.345,27.489,1.352,1.402,186.308,234.270,227.564
0.346,27.629,1.349,1.381,186.195,234.334,227.615
0.348,27.750,1.342,1.360,186.095,234.387,227.659
0.349,27.848,1.335,1.341,186.013,234.428,227.695
0.350,27.920,1.326,1.324,185.951,234.453,227.722
0.351,27.967,1.316,1.311,185.909,234.462,227.740
0.353,27.994,1.306,1.302,185.886,234.462,227.754
0.354,28.009,1.296,1.298,185.879,234.454,227.765
0.355,28.028,1.288,1.300,185.889,234.444,227.778
0.356,28.057,1.280,1.305,185.911,234.436,227.795
0.358,28.100,1.272,1.313,185.946,234.434,227.820
0.359,28.157,1.265,1.322,185.991,234.441,227.855
0.360,28.232,1.258,1.331,186.044,234.463,227.903
0.361,28.329,1.252,1.338,186.103,234.502,227.969
0.363,28.452,1.245,1.342,186.168,234.563,228.054
0.364,28.598,1.238,1.342,186.235,234.642,228.157
0.365,28.765,1.232,1.337,186.303,234.735,228.278
0.366,28.950,1.226,1.329,186.370,234.837,228.416
0.368,29.148,1.224,1.321,186.432,234.946,228.569
0.369,29.356,1.224,1.314,186.489,235.056,228.737
0.370,29.573,1.230,1.311,186.538,235.165,228.918
0.372,29.796,1.242,1.313,186.577,235.266,229.112
0.373,30.022,1.261,1.324,186.604,235.357,229.317
0.374,30.251,1.288,1.344,186.616,235.434,229.533
0.375,30.482,1.323,1.376,186.613,235.494,229.756
0.377,30.713,1.365,1.415,186.599,235.540,229.982
0.378,30.940,1.410,1.459,186.574,235.573,230.205
0.379,31.159,1.456,1.505,186.542,235.593,230.421
0.380,31.366,1.501,1.551,186.504,235.604,230.624
0.382,31.556,1.542,1.594,186.464,235.607,230.810
0.383,31.725,1.576,1.630,186.422,235.602,230.973
0.384,31.866,1.601,1.657,186.382,235.591,231.109
0.385,31.977,1.616,1.674,186.346,235.577,231.212
0.387,32.052,1.622,1.681,186.316,235.560,231.280
0.388,32.098,1.623,1.682,186.293,235.543,231.315
0.389,32.124,1.619,1.678,186.275,235.527,231.326
0.390,32.142,1.614,1.672,186.264,235.515,231.319
0.392,32.161,1.609,1.665,186.259,235.508,231.302
0.393,32.182,1.607,1.660,186.259,235.509,231.281
0.394,32.203,1.610,1.658,186.266,235.520,231.265
0.395,32.229,1.619,1.662,186.278,235.543,231.259
0.397,32.272,1.633,1.669,186.296,235.580,231.272
0.398,32.340,1.652,1.681,186.319,235.632,231.310
0.399,32.439,1.673,1.695,186.347,235.700,231.376
0.401,32.561,1.697,1.712,186.376,235.779,231.464
0.402,32.699,1.721,1.730,186.405,235.864,231.569
0.403,32.846,1.745,1.749,186.430,235.950,231.686
0.404,32.994,1.768,1.767,186.448,236.032,231.808
0.406,33.137,1.788,1.785,186.458,236.106,231.929
0.407,33.267,1.807,1.802,186.456,236.167,232.044
0.408,33.380,1.822,1.817,186.440,236.209,232.147
0.409,33.474,1.834,1.830,186.407,236.229,232.233
0.411,33.556,1.844,1.841,186.354,236.221,232.296
0.412,33.645,1.850,1.848,186.284,236.187,232.339
0.413,33.749,1.853,1.852,186.201,236.132,232.368
0.414,33.869,1.853,1.853,186.108,236.059,232.389
0.416,34.000,1.849,1.850,186.010,235.974,232.410
0.417,34.139,1.844,1.846,185.911,235.881,232.436
0.418,34.281,1.840,1.842,185.814,235.783,232.475
0.419,34.425,1.839,1.840,185.725,235.686,232.531
0.421,34.572,1.843,1.844,185.646,235.594,232.613
0.422,34.726,1.855,1.855,185.582,235.511,232.726
0.423,34.895,1.875,1.876,185.535,235.440,232.872
0.424,35.082,1.908,1.908,185.504,235.380,233.047
0.426,35.285,1.952,1.952,185.488,235.330,233.242
0.427,35.498,2.007,2.007,185.484,235.288,233.452
0.428,35.716,2.070,2.070,185.491,235.254,233.667
0.429,35.934,2.138,2.138,185.507,235.225,233.882
0.431,36.144,2.210,2.209,185.530,235.201,234.089
0.432,36.339,2.281,2.281,185.559,235.180,234.281
0.433,36.513,2.351,2.351,185.592,235.161,234.451
0.435,36.659,2.417,2.417,185.626,235.143,234.592
0.436,36.777,2.476,2.476,185.661,235.125,234.704
0.437,36.872,2.528,2.528,185.695,235.110,234.790
0.438,36.946,2.573,2.573,185.728,235.100,234.856
0.440,37.005,2.609,2.609,185.759,235.095,234.906
0.441,37.052,2.636,2.636,185.787,235.098,234.944
0.442,37.092,2.654,2.654,185.810,235.110,234.974
0.443,37.132,2.663,2.663,185.827,235.134,235.001
0.445,37.179,2.661,2.661,185.838,235.170,235.030
0.446,37.240,2.648,2.648,185.842,235.220,235.065
0.447,37.319,2.628,2.628,185.837,235.285,235.109
0.448,37.415,2.602,2.602,185.824,235.362,235.165
0.450,37.525,2.573,2.573,185.803,235.444,235.235
0.451,37.647,2.543,2.543,185.772,235.528,235.319
0.452,37.782,2.515,2.515,185.734,235.609,235.420
0.453,37.930,2.492,2.492,185.686,235.682,235.539
0.455,38.091,2.475,2.475,185.630,235.743,235.677
0.456,38.269,2.467,2.467,185.565,235.786,235.837
0.457,38.468,2.466,2.466,185.492,235.807,236.020
0.458,38.691,2.470,2.470,185.409,235.802,236.228
0.460,38.940,2.479,2.479,185.319,235.771,236.457
0.461,39.207,2.490,2.490,185.224,235.717,236.702
0.462,39.487,2.501,2.501,185.127,235.647,236.955
0.463,39.771,2.511,2.511,185.030,235.565,237.209
0.465,40.051,2.518,2.518,184.935,235.477,237.457
0.466,40.318,2.521,2.521,184.846,235.386,237.692
0.467,40.565,2.521,2.521,184.766,235.299,237.908
0.469,40.781,2.519,2.519,184.696,235.220,238.097
0.470,40.959,2.517,2.517,184.639,235.155,238.252
0.471,41.092,2.516,2.516,184.598,235.106,238.369
0.472,41.182,2.517,2.517,184.570,235.075,238.449
0.474,41.236,2.522,2.522,184.553,235.059,238.497
0.475,41.259,2.531,2.531,184.544,235.056,238.519
0.476,41.269,2.546,2.546,184.541,235.065,238.519
0.477,41.294,2.566,2.566,184.540,235.085,238.504
0.479,41.333,2.588,2.588,184.539,235.112,238.477
0.480,41.380,2.612,2.612,184.535,235.147,238.444
0.481,41.433,2.635,2.635,184.525,235.186,238.410
0.482,41.488,2.656,2.656,184.507,235.229,238.381
0.484,41.546,2.674,2.674,184.478,235.273,238.358
0.485,41.607,2.687,2.687,184.443,235.321,238.342
0.486,41.673,2.694,2.694,184.401,235.370,238.333
0.487,41.743,2.695,2.695,184.355,235.423,238.330
0.489,41.816,2.690,2.690,184.308,235.479,238.332
0.490,41.892,2.682,2.682,184.260,235.538,238.340
0.491,41.971,2.669,2.669,184.214,235.601,238.352
0.492,42.052,2.654,2.654,184.172,235.667,238.370
0.494,42.134,2.636,2.636,184.136,235.738,238.391
0.495,42.217,2.616,2.616,184.107,235.812,238.416
0.496,42.302,2.595,2.595,184.086,235.889,238.444
0.497,42.385,2.574,2.574,184.071,235.965,238.475
0.499,42.466,2.553,2.553,184.061,236.038,238.508
0.500,42.541,2.532,2.532,184.055,236.105,238.541
0.501,42.608,2.512,2.512,184.051,236.163,238.575
0.503,42.666,2.494,2.494,184.049,236.210,238.609
0.504,42.713,2.478,2.478,184.048,236.243,238.642
0.505,42.748,2.464,2.464,184.046,236.259,238.674
0.506,42.778,2.452,2.452,184.042,236.255,238.703
0.508,42.813,2.443,2.443,184.036,236.233,238.730
0.509,42.854,2.432,2.432,184.029,236.200,238.753
0.510,42.895,2.420,2.420,184.021,236.165,238.772
0.511,42.927,2.405,2.405,184.013,236.137,238.786
0.513,42.944,2.385,2.385,184.008,236.125,238.796
0.514,42.957,2.357,2.357,184.005,236.137,238.800
0.515,43.004,2.322,2.322,184.006,236.183,238.798
0.516,43.093,2.277,2.277,184.011,236.272,238.789
0.518,43.235,2.225,2.225,184.022,236.413,238.773
0.519,43.437,2.169,2.169,184.039,236.612,238.749
0.520,43.694,2.111,2.111,184.063,236.867,238.719
0.521,43.994,2.054,2.054,184.090,237.163,238.683
0.523,44.322,2.002,2.002,184.119,237.488,238.645
0.524,44.665,1.956,1.956,184.149,237.828,238.604
0.525,45.011,1.920,1.920,184.178,238.170,238.564
0.526,45.345,1.896,1.896,184.203,238.501,238.526
0.528,45.654,1.883,1.883,184.224,238.807,238.492
0.529,45.925,1.879,1.879,184.237,239.077,238.463
0.530,46.145,1.882,1.882,184.242,239.295,238.442
0.531,46.305,1.890,1.890,184.237,239.454,238.429
0.533,46.411,1.901,1.901,184.223,239.560,238.425
0.534,46.476,1.913,1.913,184.202,239.621,238.428
0.535,46.514,1.925,1.925,184.175,239.645,238.439
0.537,46.551,1.934,1.934,184.143,239.642,238.457
0.538,46.600,1.940,1.940,184.107,239.619,238.482
0.539,46.659,1.944,1.944,184.070,239.586,238.513
0.540,46.723,1.945,1.945,184.031,239.550,238.550
0.542,46.786,1.944,1.944,183.994,239.522,238.592
0.543,46.847,1.940,1.940,183.958,239.507,238.639
0.544,46.908,1.933,1.933,183.925,239.512,238.690
0.545,46.973,1.925,1.925,183.895,239.534,238.744
0.547,47.047,1.914,1.914,183.868,239.573,238.800
0.548,47.131,1.902,1.902,183.844,239.629,238.858
0.549,47.225,1.889,1.889,183.824,239.699,238.917
0.550,47.329,1.877,1.877,183.807,239.784,238.975
0.552,47.444,1.866,1.866,183.794,239.883,239.032
0.553,47.568,1.859,1.859,183.784,239.994,239.087
0.554,47.702,1.854,1.854,183.779,240.117,239.139
0.555,47.843,1.854,1.854,183.777,240.250,239.187
0.557,47.992,1.860,1.860,183.776,240.391,239.233
0.558,48.145,1.868,1.868,183.770,240.538,239.279
0.559,48.302,1.877,1.877,183.756,240.686,239.327
0.560,48.460,1.885,1.885,183.729,240.834,239.378
0.562,48.621,1.888,1.888,183.686,240.977,239.435
0.563,48.786,1.883,1.883,183.621,241.114,239.500
0.564,48.958,1.869,1.869,183.531,241.241,239.574
0.565,49.145,1.842,1.842,183.411,241.355,239.660
0.567,49.352,1.801,1.801,183.258,241.453,239.760
0.568,49.585,1.748,1.748,183.071,241.535,239.873
0.569,49.840,1.689,1.689,182.858,241.600,239.996
0.571,50.110,1.626,1.626,182.627,241.650,240.127
0.572,50.389,1.565,1.565,182.386,241.686,240.262
0.573,50.669,1.509,1.509,182.141,241.709,240.397
0.574,50.944,1.465,1.465,181.901,241.721,240.531
0.576,51.205,1.434,1.434,181.674,241.721,240.659
0.577,51.445,1.422,1.422,181.467,241.712,240.779
0.578,51.656,1.427,1.427,181.287,241.694,240.887
0.579,51.831,1.446,1.446,181.141,241.668,240.981
0.581,51.974,1.475,1.475,181.027,241.636,241.060
0.582,52.090,1.511,1.511,180.937,241.601,241.126
0.583,52.187,1.550,1.550,180.864,241.564,241.178
0.584,52.269,1.591,1.591,180.803,241.527,241.219
0.586,52.342,1.628,1.628,180.746,241.493,241.248
0.587,52.412,1.659,1.659,180.686,241.463,241.267
0.588,52.485,1.684,1.684,180.617,241.439,241.276
0.589,52.572,1.705,1.705,180.532,241.424,241.276
0.591,52.680,1.722,1.722,180.424,241.418,241.269
0.592,52.814,1.736,1.736,180.290,241.424,241.254
0.593,52.970,1.749,1.749,180.137,241.440,241.234
0.594,53.140,1.761,1.761,179.970,241.462,241.211
0.596,53.319,1.775,1.775,179.795,241.490,241.184
0.597,53.500,1.789,1.789,179.618,241.521,241.157
0.598,53.677,1.806,1.806,179.446,241.553,241.130
0.599,53.843,1.823,1.823,179.285,241.583,241.105
0.601,53.991,1.842,1.842,179.141,241.611,241.084
0.602,54.115,1.861,1.861,179.021,241.633,241.067
0.603,54.209,1.880,1.880,178.929,241.649,241.056
