"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.049,1.049,181.558,174.573,156.490
0.002,0.292,1.026,1.026,181.737,174.717,156.671
0.003,0.583,1.009,1.009,181.915,174.859,156.851
0.005,0.870,1.003,1.003,182.093,174.999,157.028
0.007,1.151,1.014,1.014,182.270,175.133,157.201
0.008,1.426,1.047,1.047,182.445,175.262,157.368
0.010,1.692,1.109,1.109,182.619,175.383,157.528
0.012,1.947,1.201,1.201,182.792,175.495,157.680
0.014,2.191,1.317,1.317,182.962,175.597,157.822
0.015,2.421,1.447,1.447,183.129,175.686,157.953
0.017,2.638,1.581,1.581,183.294,175.762,158.071
0.019,2.839,1.710,1.710,183.455,175.823,158.175
0.020,3.026,1.825,1.825,183.613,175.868,158.265
0.022,3.200,1.919,1.919,183.766,175.900,158.342
0.024,3.363,1.994,1.994,183.914,175.920,158.407
0.025,3.515,2.056,2.056,184.055,175.930,158.463
0.027,3.657,2.110,2.110,184.188,175.932,158.510
0.029,3.788,2.159,2.159,184.313,175.929,158.551
0.031,3.910,2.208,2.208,184.429,175.923,158.588
0.032,4.020,2.261,2.261,184.534,175.914,158.621
0.034,4.119,2.317,2.317,184.627,175.906,158.652
0.036,4.206,2.374,2.374,184.708,175.901,158.684
0.037,4.282,2.429,2.429,184.776,175.899,158.717
0.039,4.347,2.481,2.481,184.831,175.903,158.753
0.041,4.405,2.528,2.528,184.873,175.912,158.791
0.042,4.458,2.569,2.569,184.903,175.924,158.833
0.044,4.510,2.605,2.605,184.922,175.941,158.879
0.046,4.565,2.638,2.638,184.931,175.962,158.929
0.047,4.624,2.670,2.670,184.931,175.986,158.983
0.049,4.690,2.701,2.701,184.922,176.013,159.042
0.051,4.762,2.734,2.734,184.906,176.043,159.106
0.053,4.842,2.769,2.769,184.883,176.075,159.176
0.054,4.930,2.808,2.808,184.854,176.109,159.252
0.056,5.025,2.850,2.850,184.821,176.145,159.333
0.058,5.127,2.896,2.896,184.783,176.182,159.419
0.059,5.232,2.946,2.946,184.742,176.219,159.509
0.061,5.338,3.002,3.002,184.701,176.257,159.599
0.063,5.444,3.061,3.061,184.660,176.295,159.690
0.064,5.548,3.121,3.121,184.620,176.332,159.777
0.066,5.646,3.178,3.178,184.583,176.368,159.861
0.068,5.737,3.229,3.229,184.551,176.402,159.939
0.069,5.819,3.271,3.271,184.524,176.434,160.009
