"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.074,1.074,189.699,169.325,190.458
0.001,0.073,1.078,1.078,189.680,169.332,190.528
0.003,0.145,1.082,1.082,189.661,169.337,190.598
0.004,0.216,1.086,1.086,189.646,169.339,190.667
0.006,0.286,1.090,1.090,189.635,169.335,190.737
0.007,0.356,1.094,1.094,189.631,169.324,190.805
0.008,0.427,1.099,1.099,189.633,169.304,190.873
0.010,0.502,1.104,1.104,189.645,169.273,190.941
0.011,0.585,1.109,1.109,189.667,169.229,191.007
0.012,0.679,1.115,1.115,189.701,169.171,191.073
0.014,0.788,1.122,1.122,189.747,169.097,191.138
0.015,0.909,1.129,1.129,189.804,169.010,191.200
0.017,1.037,1.138,1.138,189.867,168.916,191.260
0.018,1.168,1.147,1.147,189.932,168.817,191.316
0.019,1.296,1.159,1.159,189.996,168.719,191.367
0.021,1.415,1.172,1.172,190.056,168.626,191.412
0.022,1.521,1.187,1.187,190.107,168.542,191.451
0.024,1.608,1.202,1.202,190.146,168.471,191.482
0.025,1.670,1.216,1.216,190.169,168.418,191.505
0.026,1.706,1.228,1.228,190.174,168.385,191.518
0.028,1.724,1.236,1.236,190.166,168.370,191.524
0.029,1.741,1.240,1.240,190.149,168.366,191.523
0.030,1.760,1.238,1.238,190.132,168.370,191.519
0.032,1.775,1.229,1.229,190.119,168.375,191.511
0.033,1.784,1.215,1.215,190.118,168.376,191.503
0.035,1.803,1.197,1.197,190.134,168.369,191.495
0.036,1.849,1.177,1.177,190.175,168.347,191.491
0.037,1.931,1.155,1.155,190.246,168.306,191.491
0.039,2.055,1.134,1.134,190.352,168.241,191.497
0.040,2.216,1.115,1.115,190.488,168.156,191.505
0.041,2.406,1.100,1.100,190.647,168.054,191.514
0.043,2.614,1.088,1.088,190.822,167.941,191.518
0.044,2.832,1.080,1.080,191.004,167.822,191.514
0.046,3.051,1.076,1.076,191.187,167.701,191.499
0.047,3.264,1.077,1.077,191.361,167.582,191.469
0.048,3.465,1.082,1.082,191.521,167.472,191.419
0.050,3.648,1.091,1.091,191.658,167.375,191.347
0.051,3.815,1.106,1.106,191.767,167.293,191.250
0.053,3.975,1.126,1.126,191.848,167.225,191.130
0.054,4.137,1.153,1.153,191.908,167.163,190.992
0.055,4.305,1.189,1.189,191.952,167.102,190.843
0.057,4.478,1.235,1.235,191.986,167.034,190.686
0.058,4.658,1.292,1.292,192.015,166.954,190.528
0.059,4.844,1.361,1.361,192.044,166.855,190.373
0.061,5.039,1.445,1.445,192.079,166.731,190.227
0.062,5.248,1.544,1.544,192.126,166.576,190.095
0.064,5.480,1.653,1.653,192.189,166.385,189.981
0.065,5.734,1.771,1.771,192.267,166.161,189.885
0.066,6.007,1.892,1.892,192.354,165.916,189.805
0.068,6.291,2.014,2.014,192.447,165.656,189.740
0.069,6.577,2.134,2.134,192.541,165.391,189.686
0.071,6.857,2.248,2.248,192.631,165.129,189.641
0.072,7.122,2.352,2.352,192.713,164.881,189.604
0.073,7.362,2.446,2.446,192.783,164.653,189.573
0.075,7.568,2.528,2.528,192.836,164.456,189.545
0.076,7.732,2.600,2.600,192.869,164.297,189.518
