"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.920,0.920,183.534,164.535,184.602
0.001,0.256,0.944,0.944,183.710,164.407,184.466
0.003,0.511,0.968,0.968,183.886,164.280,184.332
0.004,0.763,0.992,0.992,184.061,164.156,184.199
0.005,1.010,1.015,1.015,184.234,164.037,184.070
0.006,1.252,1.039,1.039,184.407,163.924,183.944
0.008,1.486,1.062,1.062,184.577,163.818,183.823
0.009,1.712,1.084,1.084,184.745,163.720,183.709
0.010,1.928,1.106,1.106,184.911,163.633,183.601
0.011,2.134,1.127,1.127,185.074,163.558,183.501
0.013,2.328,1.149,1.149,185.234,163.495,183.410
0.014,2.511,1.171,1.171,185.391,163.448,183.329
0.015,2.681,1.194,1.194,185.543,163.416,183.258
0.017,2.842,1.220,1.220,185.691,163.401,183.199
0.018,2.993,1.249,1.249,185.835,163.400,183.150
0.019,3.137,1.282,1.282,185.973,163.411,183.112
0.020,3.276,1.318,1.318,186.107,163.432,183.082
0.022,3.408,1.360,1.360,186.234,163.460,183.061
0.023,3.535,1.405,1.405,186.355,163.494,183.048
0.024,3.655,1.453,1.453,186.470,163.531,183.042
0.025,3.770,1.503,1.503,186.578,163.569,183.041
0.027,3.877,1.554,1.554,186.679,163.606,183.047
0.028,3.977,1.604,1.604,186.773,163.639,183.057
0.029,4.068,1.653,1.653,186.858,163.666,183.071
0.030,4.149,1.699,1.699,186.935,163.685,183.089
0.032,4.222,1.742,1.742,187.004,163.697,183.108
0.033,4.287,1.782,1.782,187.066,163.702,183.128
0.034,4.346,1.817,1.817,187.122,163.705,183.148
0.036,4.400,1.847,1.847,187.172,163.706,183.165
0.037,4.448,1.871,1.871,187.218,163.709,183.178
0.038,4.492,1.890,1.890,187.261,163.715,183.187
0.039,4.534,1.902,1.902,187.301,163.728,183.188
0.041,4.578,1.908,1.908,187.340,163.748,183.181
0.042,4.630,1.906,1.906,187.378,163.780,183.165
0.043,4.695,1.899,1.899,187.416,163.824,183.137
0.044,4.777,1.888,1.888,187.455,163.884,183.097
0.046,4.880,1.875,1.875,187.496,163.961,183.043
0.047,5.002,1.860,1.860,187.539,164.055,182.976
0.048,5.142,1.845,1.845,187.583,164.161,182.898
0.050,5.295,1.833,1.833,187.628,164.279,182.811
0.051,5.458,1.824,1.824,187.672,164.405,182.717
0.052,5.629,1.819,1.819,187.715,164.537,182.618
0.053,5.802,1.818,1.818,187.757,164.672,182.516
0.055,5.976,1.820,1.820,187.796,164.806,182.413
0.056,6.147,1.826,1.826,187.832,164.939,182.311
0.057,6.312,1.834,1.834,187.865,165.066,182.213
0.058,6.466,1.845,1.845,187.893,165.186,182.119
0.060,6.607,1.858,1.858,187.917,165.295,182.033
0.061,6.733,1.872,1.872,187.935,165.391,181.955
0.062,6.843,1.888,1.888,187.947,165.476,181.885
0.064,6.940,1.905,1.905,187.956,165.550,181.823
0.065,7.025,1.922,1.922,187.960,165.615,181.768
0.066,7.100,1.940,1.940,187.961,165.671,181.718
0.067,7.166,1.959,1.959,187.959,165.720,181.674
0.069,7.225,1.977,1.977,187.955,165.764,181.635
0.070,7.278,1.995,1.995,187.950,165.802,181.599
0.071,7.326,2.013,2.013,187.943,165.837,181.567
0.072,7.371,2.029,2.029,187.936,165.870,181.537
0.074,7.414,2.046,2.046,187.929,165.901,181.508
0.075,7.456,2.061,2.061,187.922,165.932,181.480
0.076,7.499,2.076,2.076,187.917,165.964,181.453
0.078,7.541,2.090,2.090,187.912,165.996,181.426
0.079,7.582,2.103,2.103,187.908,166.028,181.400
0.080,7.622,2.115,2.115,187.903,166.058,181.375
0.081,7.659,2.126,2.126,187.899,166.087,181.350
0.083,7.695,2.136,2.136,187.893,166.113,181.327
0.084,7.728,2.146,2.146,187.887,166.136,181.305
0.085,7.757,2.154,2.154,187.879,166.156,181.284
0.086,7.783,2.162,2.162,187.869,166.172,181.266
0.088,7.807,2.170,2.170,187.858,166.182,181.249
0.089,7.828,2.177,2.177,187.844,166.188,181.233
0.090,7.849,2.184,2.184,187.827,166.187,181.220
0.091,7.871,2.190,2.190,187.809,166.181,181.210
0.093,7.894,2.196,2.196,187.790,166.172,181.202
0.094,7.915,2.201,2.201,187.772,166.161,181.197
