"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.229,1.229,172.296,160.772,181.043
0.002,0.205,1.311,1.311,172.349,160.599,180.946
0.004,0.408,1.393,1.393,172.401,160.428,180.850
0.005,0.608,1.478,1.478,172.452,160.260,180.754
0.007,0.802,1.567,1.567,172.500,160.097,180.661
0.009,0.990,1.660,1.660,172.545,159.939,180.569
0.011,1.168,1.760,1.760,172.585,159.789,180.481
0.012,1.337,1.864,1.864,172.621,159.649,180.396
0.014,1.493,1.967,1.967,172.651,159.519,180.314
0.016,1.636,2.064,2.064,172.674,159.401,180.238
0.018,1.763,2.149,2.149,172.690,159.296,180.166
0.019,1.874,2.217,2.217,172.697,159.207,180.100
0.021,1.968,2.261,2.261,172.695,159.135,180.040
0.023,2.045,2.282,2.282,172.684,159.080,179.987
0.025,2.107,2.287,2.287,172.663,159.044,179.941
0.027,2.157,2.282,2.282,172.637,159.022,179.904
0.028,2.197,2.271,2.271,172.609,159.011,179.878
0.030,2.227,2.261,2.261,172.583,159.009,179.864
0.032,2.248,2.258,2.258,172.562,159.013,179.862
0.034,2.267,2.259,2.259,172.550,159.019,179.875
0.035,2.296,2.261,2.261,172.550,159.024,179.904
0.037,2.345,2.262,2.262,172.565,159.025,179.949
0.039,2.418,2.256,2.256,172.600,159.019,180.014
0.041,2.521,2.241,2.241,172.658,159.003,180.098
0.042,2.659,2.217,2.217,172.743,158.973,180.203
0.044,2.837,2.188,2.188,172.857,158.928,180.331
0.046,3.057,2.164,2.164,173.004,158.864,180.482
0.048,3.316,2.152,2.152,173.180,158.782,180.654
0.049,3.607,2.159,2.159,173.380,158.686,180.842
0.051,3.923,2.194,2.194,173.598,158.579,181.044
0.053,4.256,2.256,2.256,173.829,158.463,181.254
0.055,4.598,2.338,2.338,174.067,158.342,181.468
0.057,4.943,2.432,2.432,174.307,158.219,181.684
0.058,5.284,2.528,2.528,174.542,158.096,181.896
0.060,5.611,2.619,2.619,174.768,157.977,182.101
0.062,5.919,2.697,2.697,174.979,157.865,182.295
0.064,6.199,2.759,2.759,175.170,157.762,182.473
0.065,6.445,2.807,2.807,175.334,157.672,182.633
0.067,6.649,2.844,2.844,175.466,157.597,182.769
0.069,6.808,2.871,2.871,175.565,157.540,182.880
0.071,6.926,2.890,2.890,175.632,157.499,182.967
0.072,7.009,2.902,2.902,175.673,157.471,183.034
0.074,7.062,2.911,2.911,175.691,157.457,183.081
0.076,7.093,2.917,2.917,175.690,157.453,183.112
0.078,7.117,2.925,2.925,175.673,157.460,183.129
0.080,7.148,2.937,2.937,175.646,157.474,183.133
0.081,7.189,2.954,2.954,175.611,157.494,183.128
0.083,7.236,2.978,2.978,175.573,157.519,183.115
0.085,7.287,3.006,3.006,175.536,157.548,183.096
0.087,7.336,3.035,3.035,175.503,157.578,183.075
0.088,7.381,3.063,3.063,175.479,157.608,183.052
0.090,7.419,3.087,3.087,175.467,157.637,183.030
0.092,7.452,3.103,3.103,175.468,157.664,183.011
0.094,7.485,3.112,3.112,175.481,157.688,182.994
0.095,7.521,3.114,3.114,175.505,157.710,182.978
0.097,7.563,3.112,3.112,175.540,157.730,182.966
0.099,7.611,3.106,3.106,175.584,157.747,182.955
0.101,7.665,3.098,3.098,175.636,157.761,182.947
0.102,7.726,3.089,3.089,175.695,157.772,182.942
0.104,7.792,3.080,3.080,175.761,157.780,182.940
0.106,7.864,3.069,3.069,175.833,157.784,182.940
0.108,7.940,3.056,3.056,175.909,157.785,182.943
0.110,8.021,3.042,3.042,175.989,157.782,182.949
0.111,8.104,3.025,3.025,176.071,157.776,182.959
0.113,8.190,3.006,3.006,176.156,157.766,182.971
0.115,8.278,2.984,2.984,176.242,157.752,182.986
0.117,8.367,2.961,2.961,176.328,157.735,183.002
0.118,8.457,2.937,2.937,176.414,157.716,183.020
0.120,8.548,2.912,2.912,176.500,157.694,183.038
0.122,8.637,2.888,2.888,176.584,157.669,183.055
0.124,8.725,2.864,2.864,176.666,157.643,183.072
0.125,8.810,2.840,2.840,176.745,157.615,183.086
0.127,8.892,2.815,2.815,176.821,157.587,183.098
0.129,8.971,2.790,2.790,176.894,157.557,183.107
0.131,9.045,2.763,2.763,176.962,157.527,183.113
0.133,9.115,2.734,2.734,177.024,157.497,183.113
0.134,9.179,2.704,2.704,177.081,157.467,183.109
0.136,9.239,2.674,2.674,177.132,157.438,183.099
0.138,9.296,2.644,2.644,177.179,157.409,183.086
0.140,9.350,2.616,2.616,177.224,157.382,183.069
0.141,9.404,2.590,2.590,177.267,157.356,183.051
0.143,9.457,2.566,2.566,177.310,157.332,183.031
0.145,9.510,2.546,2.546,177.355,157.311,183.012
0.147,9.565,2.528,2.528,177.402,157.291,182.993
0.148,9.621,2.512,2.512,177.454,157.275,182.977
0.150,9.681,2.497,2.497,177.511,157.262,182.964
0.152,9.746,2.483,2.483,177.574,157.252,182.954
0.154,9.819,2.469,2.469,177.646,157.245,182.950
0.155,9.900,2.454,2.454,177.727,157.243,182.951
0.157,9.992,2.435,2.435,177.819,157.246,182.959
0.159,10.094,2.410,2.410,177.921,157.251,182.972
0.161,10.205,2.377,2.377,178.030,157.258,182.987
0.163,10.322,2.335,2.335,178.145,157.267,183.002
0.164,10.443,2.286,2.286,178.266,157.275,183.015
0.166,10.568,2.234,2.234,178.390,157.283,183.023
0.168,10.694,2.185,2.185,178.516,157.287,183.024
0.170,10.820,2.144,2.144,178.642,157.288,183.015
0.171,10.947,2.116,2.116,178.767,157.284,182.995
0.173,11.074,2.106,2.106,178.889,157.274,182.960
0.175,11.204,2.110,2.110,179.007,157.258,182.908
0.177,11.340,2.120,2.120,179.120,157.232,182.837
0.178,11.484,2.129,2.129,179.225,157.198,182.745
0.180,11.640,2.131,2.131,179.322,157.154,182.631
0.182,11.807,2.117,2.117,179.411,157.103,182.499
0.184,11.984,2.084,2.084,179.493,157.048,182.352
0.186,12.168,2.039,2.039,179.567,156.989,182.194
0.187,12.356,1.990,1.990,179.634,156.930,182.029
0.189,12.545,1.947,1.947,179.694,156.873,181.859
0.191,12.732,1.918,1.918,179.748,156.819,181.688
0.193,12.913,1.911,1.911,179.795,156.771,181.520
0.194,13.084,1.928,1.928,179.836,156.732,181.358
0.196,13.243,1.960,1.960,179.872,156.703,181.206
0.198,13.386,1.997,1.997,179.902,156.686,181.067
0.200,13.511,2.028,2.028,179.926,156.685,180.945
0.201,13.617,2.044,2.044,179.946,156.699,180.842
0.203,13.708,2.035,2.035,179.963,156.729,180.758
0.205,13.791,2.003,2.003,179.980,156.771,180.688
0.207,13.871,1.959,1.959,180.001,156.822,180.630
0.208,13.952,1.910,1.910,180.028,156.880,180.581
0.210,14.035,1.868,1.868,180.064,156.940,180.536
0.212,14.124,1.840,1.840,180.113,157.002,180.494
0.214,14.221,1.835,1.835,180.177,157.061,180.450
0.216,14.331,1.847,1.847,180.259,157.114,180.401
0.217,14.457,1.870,1.870,180.362,157.159,180.344
0.219,14.605,1.896,1.896,180.489,157.194,180.277
0.221,14.781,1.916,1.916,180.644,157.214,180.194
0.223,14.991,1.924,1.924,180.828,157.217,180.094
0.224,15.238,1.919,1.919,181.043,157.202,179.975
0.226,15.515,1.911,1.911,181.283,157.170,179.839
0.228,15.819,1.915,1.915,181.543,157.125,179.689
0.230,16.141,1.945,1.945,181.816,157.068,179.528
0.231,16.475,2.013,2.013,182.096,157.003,179.359
0.233,16.814,2.132,2.132,182.378,156.931,179.184
0.235,17.153,2.299,2.299,182.656,156.855,179.006
0.237,17.483,2.495,2.495,182.924,156.777,178.829
0.239,17.798,2.697,2.697,183.175,156.700,178.656
0.240,18.091,2.887,2.887,183.404,156.627,178.488
0.242,18.356,3.043,3.043,183.606,156.559,178.329
0.244,18.587,3.148,3.148,183.773,156.500,178.182
0.246,18.778,3.204,3.204,183.902,156.451,178.049
0.247,18.931,3.224,3.224,183.991,156.414,177.930
0.249,19.053,3.222,3.222,184.045,156.389,177.824
0.251,19.152,3.209,3.209,184.068,156.378,177.728
0.253,19.240,3.199,3.199,184.065,156.380,177.641
0.254,19.326,3.201,3.201,184.039,156.395,177.560
0.256,19.420,3.209,3.209,183.995,156.426,177.483
0.258,19.525,3.219,3.219,183.937,156.471,177.408
0.260,19.643,3.222,3.222,183.869,156.532,177.334
0.261,19.774,3.211,3.211,183.795,156.610,177.258
0.263,19.918,3.181,3.181,183.720,156.703,177.179
0.265,20.076,3.129,3.129,183.647,156.814,177.093
0.267,20.248,3.061,3.061,183.581,156.943,177.000
0.269,20.435,2.983,2.983,183.525,157.090,176.899
0.270,20.635,2.901,2.901,183.479,157.251,176.789
0.272,20.846,2.821,2.821,183.441,157.424,176.675
0.274,21.065,2.748,2.748,183.412,157.606,176.556
0.276,21.289,2.686,2.686,183.389,157.794,176.436
0.277,21.514,2.634,2.634,183.372,157.984,176.316
0.279,21.737,2.591,2.591,183.361,158.173,176.198
0.281,21.955,2.558,2.558,183.353,158.359,176.085
0.283,22.164,2.534,2.534,183.349,158.537,175.977
0.284,22.360,2.519,2.519,183.347,158.706,175.877
0.286,22.540,2.511,2.511,183.346,158.862,175.788
0.288,22.700,2.509,2.509,183.345,159.002,175.709
0.290,22.837,2.512,2.512,183.345,159.122,175.645
0.292,22.949,2.517,2.517,183.343,159.223,175.594
0.293,23.041,2.524,2.524,183.340,159.306,175.556
0.295,23.113,2.531,2.531,183.337,159.372,175.528
0.297,23.168,2.538,2.538,183.333,159.424,175.508
0.299,23.210,2.545,2.545,183.329,159.463,175.495
0.300,23.240,2.550,2.550,183.325,159.492,175.488
0.302,23.260,2.554,2.554,183.321,159.512,175.484
0.304,23.274,2.557,2.557,183.317,159.525,175.482
0.306,23.283,2.557,2.557,183.314,159.533,175.480
0.307,23.289,2.556,2.556,183.312,159.537,175.476
0.309,23.297,2.553,2.553,183.310,159.540,175.469
0.311,23.310,2.548,2.548,183.309,159.544,175.457
0.313,23.330,2.543,2.543,183.309,159.549,175.438
0.314,23.357,2.535,2.535,183.311,159.558,175.412
0.316,23.390,2.528,2.528,183.314,159.569,175.381
0.318,23.430,2.524,2.524,183.320,159.584,175.345
0.320,23.476,2.523,2.523,183.328,159.602,175.304
0.322,23.527,2.529,2.529,183.338,159.625,175.259
0.323,23.584,2.543,2.543,183.351,159.652,175.210
0.325,23.646,2.567,2.566,183.368,159.683,175.159
0.327,23.713,2.596,2.596,183.388,159.720,175.106
0.329,23.786,2.628,2.628,183.412,159.762,175.052
0.330,23.864,2.659,2.659,183.441,159.809,174.997
0.332,23.948,2.684,2.684,183.473,159.863,174.941
0.334,24.038,2.700,2.700,183.511,159.922,174.886
0.336,24.133,2.705,2.706,183.553,159.988,174.832
0.337,24.232,2.704,2.704,183.599,160.059,174.779
0.339,24.335,2.698,2.698,183.648,160.134,174.728
0.341,24.441,2.691,2.692,183.699,160.212,174.678
0.343,24.548,2.687,2.687,183.752,160.292,174.631
0.345,24.655,2.688,2.688,183.804,160.373,174.585
0.346,24.760,2.695,2.694,183.856,160.454,174.543
0.348,24.863,2.706,2.705,183.907,160.534,174.503
0.350,24.961,2.716,2.719,183.955,160.612,174.466
0.352,25.055,2.725,2.735,184.001,160.686,174.432
0.353,25.142,2.730,2.751,184.042,160.757,174.402
0.355,25.221,2.729,2.767,184.078,160.822,174.375
0.357,25.291,2.724,2.781,184.109,160.881,174.353
0.359,25.353,2.715,2.794,184.134,160.934,174.334
0.360,25.407,2.707,2.805,184.156,160.981,174.318
0.362,25.455,2.701,2.816,184.174,161.022,174.304
0.364,25.497,2.699,2.825,184.191,161.059,174.290
0.366,25.535,2.703,2.833,184.207,161.091,174.276
0.367,25.570,2.711,2.840,184.223,161.118,174.261
0.369,25.604,2.723,2.847,184.240,161.141,174.244
0.371,25.639,2.736,2.855,184.261,161.161,174.224
0.373,25.676,2.749,2.865,184.284,161.178,174.201
0.375,25.718,2.760,2.876,184.313,161.192,174.173
0.376,25.768,2.769,2.891,184.347,161.203,174.140
0.378,25.826,2.776,2.907,184.389,161.212,174.100
0.380,25.894,2.780,2.926,184.438,161.220,174.053
0.382,25.971,2.782,2.947,184.494,161.224,174.001
0.383,26.056,2.782,2.970,184.556,161.225,173.943
0.385,26.148,2.780,2.995,184.625,161.222,173.881
0.387,26.246,2.778,3.022,184.698,161.213,173.817
0.389,26.350,2.781,3.049,184.777,161.199,173.750
0.390,26.458,2.792,3.076,184.859,161.178,173.683
0.392,26.571,2.816,3.102,184.945,161.149,173.616
0.394,26.688,2.855,3.127,185.033,161.112,173.549
0.396,26.808,2.913,3.150,185.124,161.065,173.485
0.398,26.933,2.983,3.171,185.216,161.009,173.423
0.399,27.061,3.059,3.191,185.309,160.941,173.366
0.401,27.194,3.134,3.209,185.402,160.863,173.313
0.403,27.331,3.201,3.227,185.494,160.773,173.266
0.405,27.472,3.254,3.245,185.586,160.675,173.221
0.406,27.615,3.289,3.262,185.674,160.571,173.180
0.408,27.759,3.313,3.282,185.759,160.463,173.139
0.410,27.901,3.330,3.305,185.840,160.352,173.099
0.412,28.041,3.347,3.332,185.916,160.242,173.057
0.413,28.177,3.370,3.366,185.985,160.134,173.014
0.415,28.306,3.402,3.407,186.047,160.031,172.967
0.417,28.428,3.445,3.452,186.101,159.934,172.915
0.419,28.542,3.489,3.497,186.145,159.846,172.858
0.420,28.647,3.530,3.536,186.180,159.769,172.795
0.422,28.746,3.559,3.562,186.203,159.706,172.723
0.424,28.841,3.571,3.571,186.215,159.657,172.643
0.426,28.937,3.559,3.558,186.217,159.622,172.553
0.428,29.038,3.530,3.527,186.211,159.599,172.456
0.429,29.145,3.489,3.487,186.200,159.587,172.349
0.431,29.260,3.446,3.444,186.184,159.585,172.235
0.433,29.384,3.407,3.406,186.166,159.591,172.113
0.435,29.515,3.381,3.381,186.148,159.604,171.983
0.436,29.655,3.371,3.372,186.132,159.622,171.846
0.438,29.801,3.372,3.372,186.120,159.644,171.702
0.440,29.954,3.376,3.376,186.113,159.668,171.551
0.442,30.114,3.375,3.375,186.115,159.694,171.393
0.443,30.281,3.361,3.361,186.127,159.719,171.229
0.445,30.454,3.329,3.329,186.150,159.743,171.059
0.447,30.635,3.277,3.277,186.186,159.764,170.883
0.449,30.821,3.215,3.215,186.234,159.783,170.704
0.451,31.012,3.152,3.153,186.291,159.801,170.523
0.452,31.206,3.098,3.098,186.357,159.819,170.342
0.454,31.401,3.062,3.062,186.431,159.836,170.162
0.456,31.595,3.052,3.052,186.512,159.853,169.986
0.458,31.788,3.067,3.066,186.598,159.871,169.815
0.459,31.976,3.098,3.097,186.689,159.891,169.650
0.461,32.159,3.140,3.138,186.783,159.912,169.495
