"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.094,1.094,191.776,169.511,149.694
0.001,0.034,1.125,1.125,191.800,169.491,149.679
0.002,0.069,1.155,1.156,191.823,169.472,149.662
0.003,0.103,1.186,1.186,191.845,169.454,149.642
0.005,0.139,1.216,1.217,191.865,169.436,149.618
0.006,0.178,1.247,1.247,191.882,169.420,149.587
0.007,0.221,1.277,1.278,191.895,169.405,149.548
0.008,0.272,1.308,1.308,191.904,169.393,149.500
0.009,0.331,1.338,1.338,191.908,169.382,149.442
0.010,0.403,1.368,1.368,191.907,169.374,149.370
0.012,0.489,1.399,1.398,191.899,169.369,149.285
0.013,0.590,1.428,1.427,191.884,169.368,149.185
0.014,0.705,1.455,1.454,191.864,169.369,149.072
0.015,0.830,1.480,1.478,191.840,169.374,148.950
0.016,0.961,1.501,1.499,191.813,169.381,148.821
0.017,1.095,1.518,1.516,191.787,169.392,148.691
0.019,1.228,1.530,1.528,191.761,169.406,148.561
0.020,1.356,1.535,1.535,191.738,169.422,148.435
0.021,1.477,1.535,1.536,191.720,169.442,148.318
0.022,1.587,1.528,1.531,191.708,169.465,148.211
0.023,1.683,1.517,1.521,191.704,169.490,148.118
0.024,1.763,1.502,1.509,191.709,169.518,148.043
0.026,1.832,1.486,1.493,191.725,169.550,147.985
0.027,1.896,1.469,1.477,191.754,169.587,147.942
0.028,1.963,1.454,1.460,191.795,169.631,147.910
0.029,2.042,1.441,1.445,191.850,169.683,147.889
0.030,2.136,1.432,1.432,191.921,169.743,147.877
0.031,2.249,1.428,1.422,192.008,169.815,147.869
0.033,2.382,1.429,1.417,192.112,169.899,147.866
0.034,2.539,1.438,1.418,192.234,169.996,147.864
0.035,2.719,1.452,1.428,192.376,170.108,147.861
0.036,2.926,1.475,1.447,192.538,170.236,147.855
0.037,3.155,1.504,1.477,192.718,170.378,147.846
0.038,3.401,1.543,1.520,192.910,170.530,147.835
0.040,3.657,1.589,1.578,193.109,170.690,147.822
0.041,3.917,1.645,1.651,193.311,170.854,147.807
0.042,4.175,1.710,1.739,193.510,171.018,147.793
0.043,4.425,1.780,1.839,193.701,171.179,147.778
0.044,4.661,1.855,1.944,193.880,171.333,147.765
0.045,4.877,1.931,2.052,194.041,171.476,147.754
0.047,5.067,2.006,2.156,194.179,171.606,147.745
0.048,5.225,2.078,2.252,194.289,171.719,147.740
0.049,5.351,2.143,2.336,194.371,171.814,147.737
0.050,5.449,2.201,2.403,194.429,171.894,147.737
0.051,5.524,2.247,2.449,194.465,171.959,147.738
0.052,5.579,2.283,2.473,194.484,172.011,147.740
0.054,5.621,2.309,2.479,194.487,172.053,147.741
0.055,5.655,2.328,2.472,194.480,172.086,147.741
0.056,5.685,2.340,2.454,194.464,172.111,147.739
0.057,5.713,2.347,2.430,194.443,172.131,147.734
0.058,5.741,2.351,2.403,194.422,172.147,147.726
