,Distance,Radius,X,Y,Z
0,0.0,8.055,219.09400000000002,188.445,193.28
1,0.03,7.86,219.368,188.407,193.449
2,0.06,7.6770000000000005,219.639,188.375,193.62099999999998
3,0.08900000000000001,7.52,219.903,188.359,193.799
4,0.115,7.403,220.158,188.36599999999999,193.986
5,0.14,7.334,220.398,188.403,194.185
6,0.161,7.3020000000000005,220.623,188.477,194.4
7,0.179,7.287000000000001,220.827,188.597,194.63299999999998
8,0.193,7.272,221.00799999999998,188.77,194.888
9,0.205,7.239,221.162,189.003,195.167
10,0.218,7.187,221.28599999999997,189.305,195.47400000000002
11,0.233,7.119,221.37900000000002,189.676,195.80900000000003
12,0.256,7.041,221.44299999999998,190.10299999999998,196.16400000000002
13,0.289,6.957000000000001,221.482,190.57,196.53
14,0.33399999999999996,6.879,221.50099999999998,191.06099999999998,196.898
15,0.39399999999999996,6.819,221.50400000000002,191.558,197.26
16,0.47100000000000003,6.792000000000001,221.49400000000003,192.046,197.605
17,0.568,6.811,221.475,192.50900000000001,197.925
18,0.687,6.8660000000000005,221.451,192.928,198.21099999999998
19,0.831,6.936,221.42700000000002,193.29,198.453
20,1.003,6.997999999999999,221.40599999999998,193.576,198.644
21,1.2009999999999998,7.029,221.391,193.77900000000002,198.778
22,1.421,7.028,221.382,193.90900000000002,198.863
23,1.659,7.01,221.377,193.977,198.90599999999998
24,1.9080000000000001,6.992999999999999,221.378,193.99400000000003,198.915
25,2.1630000000000003,6.99,221.38299999999998,193.972,198.898
26,2.419,7.007000000000001,221.392,193.921,198.862
27,2.67,7.032,221.405,193.854,198.81599999999997
28,2.9130000000000003,7.056,221.421,193.78099999999998,198.767
29,3.141,7.066,221.44,193.71400000000003,198.72299999999998
30,3.35,7.059,221.46099999999998,193.66299999999998,198.69099999999997
31,3.54,7.039,221.483,193.635,198.676
32,3.7119999999999997,7.013,221.505,193.625,198.674
33,3.87,6.985,221.525,193.63,198.68400000000003
34,4.015,6.962000000000001,221.54,193.646,198.702
35,4.149,6.946000000000001,221.55,193.668,198.726
36,4.273,6.941,221.551,193.69299999999998,198.75400000000002
37,4.3919999999999995,6.95,221.543,193.71599999999998,198.783
38,4.5089999999999995,6.973,221.523,193.734,198.81
39,4.632,6.994,221.49,193.74200000000002,198.833
40,4.768,6.999,221.442,193.737,198.84900000000002
41,4.921,6.972,221.382,193.718,198.858
42,5.087,6.9079999999999995,221.317,193.69299999999998,198.863
43,5.261,6.832999999999999,221.255,193.666,198.865
44,5.438,6.775,221.204,193.644,198.86700000000002
45,5.61,6.766,221.173,193.63099999999997,198.87099999999998
46,5.774,6.824,221.168,193.635,198.88099999999997
47,5.925,6.914,221.19799999999998,193.66,198.898
48,6.061,6.989,221.271,193.71200000000002,198.925
49,6.186,7.001,221.394,193.797,198.96400000000003
50,6.312,6.914,221.575,193.92,199.017
51,6.452999999999999,6.744,221.80900000000003,194.08,199.084
52,6.6129999999999995,6.525,222.085,194.27,199.162
53,6.789,6.292000000000001,222.391,194.482,199.247
54,6.976,6.0760000000000005,222.715,194.71,199.338
55,7.169,5.8870000000000005,223.045,194.946,199.43200000000002
56,7.359,5.726,223.368,195.183,199.525
57,7.539,5.593999999999999,223.672,195.415,199.614
58,7.702000000000001,5.4910000000000005,223.946,195.63400000000001,199.697
59,7.84,5.412999999999999,224.17700000000002,195.833,199.771
60,7.944,5.352,224.355,196.00599999999997,199.833
61,8.015,5.3020000000000005,224.48,196.15099999999998,199.88400000000001
62,8.058,5.255,224.56,196.271,199.924
63,8.075,5.211,224.601,196.36700000000002,199.955
64,8.079,5.175,224.611,196.44099999999997,199.979
65,8.099,5.149,224.59599999999998,196.495,199.99599999999998
66,8.131,5.138,224.565,196.53099999999998,200.00900000000001
67,8.172,5.14,224.524,196.551,200.018
68,8.218,5.15,224.48,196.55599999999998,200.025
69,8.264,5.164,224.44,196.549,200.03099999999998
70,8.307,5.175,224.412,196.53099999999998,200.03799999999998
