name,ratio,alpha,dist_cutoff
BY,0.872743682,5,6
BI,1,,
BK,0.886308068,,
BM,0.927489177,,
Bf,0.980935875,,
BX,0.780598368,,
Bg,0.801297371,,
BD,0.942909761,,
BE,0.833851898,,
BF,0.734049698,,
BQ,0.640117994,,
BU,0.774949084,,
BO,0.734149055,,
BS,0.864516129,,
BN,0.88024565,,
BL,0.943313953,,
BT,0.744588745,,
BP,0.866385373,,
BZ,0.925545571,,
Bc,0.825991189,,
BW,0.659309021,,
Bd,0.781002639,,
Bb,0.921568627,,
Be,0.929637527,,
BA,0.762524398,,
BR,0.73968254,,
BB,0.826010545,,
BV,0.778702163,,
Ba,0.782204515,,
BJ,0.828196721,,
BC,0.801801802,,
BG,0.888055704,,
BH,0.898541114,,
CG,0.812696747,,
CT,0.735248447,,
CZ,0.77706422,,
Cz,0.837601863,,
CA,0.547790339,,
CJ,0.831884058,,
CH,0.872,,
CV,0.643129771,,
CN,0.313496933,,
Ca,0.698384201,,
CQ,0.787383178,,
CD,0.760229133,,
CR,0.933715743,,
CP,0.738338192,,
CX,0.795339412,,
CW,0.833070866,,
CY,0.798664122,,
Cr,0.953125,,
Cc,0.892648775,,
Cd,0.81875,,
Ce,0.789664551,,
Cj,0.694039735,,
Cl,0.72173913,,
Co,0.869565217,,
CM,0.859389454,,
CS,0.639887245,,
CU,0.872685185,,
Ci,0.898858075,,
CK,0.946875,,
Cu,0.881944444,,
Cv,0.930555556,,
Cs,0.916099773,,
Ct,0.870748299,,
Ch,0.885375494,,
CF,0.691532258,,
Cq,0.906171601,,
CB,0.632366996,,
CC,0.775362319,,
CO,0.791515152,,
Cp,0.766433566,,
CI,0.777852349,,
Cn,0.68487395,,
Cm,0.927570093,,
CL,0.884092253,,
CE,0.83073368,,
Cf,0.515151515,,
Ck,0.890070922,,
Cb,0.834381551,,
Cg,0.687848384,,
