name,ratio,alpha,dist_cutoff_LSU,dist_cutoff_SSU
B0,0.974842767,5,7,4
B1,0.996247655,,,
B2,0.992924528,,,
B3,0.976635514,,,
B4,0.846681922,,,
B5,0.980821918,,,
B6,0.936464088,,,
B7,0.845283019,,,
B8,0.98630137,,,
BD,0.887310142,,,
BE,0.885019711,,,
BF,0.921944978,,,
BG,0.907827359,,,
BH,0.990023024,,,
BM,0.890860692,,,
BN,0.92849162,,,
BO,0.779549719,,,
BP,0.921771913,,,
BQ,0.817171717,,,
BR,0.877293578,,,
BS,0.889490791,,,
BT,0.775661376,,,
BU,0.969348659,,,
BV,0.90855803,,,
BW,0.923076923,,,
BX,0.961178046,,,
BZ,0.953736655,,,
AB,0.688838782,,,
AC,0.649271845,,,
AD,0.573913043,,,
AE,0.699029126,,,
AF,0.744040151,,,
AG,0.744821872,,,
AH,0.640237859,,,
AI,0.610376399,,,
AJ,0.503778338,,,
AK,0.688448075,,,
AL,0.667931689,,,
AM,0.786941581,,,
AN,0.437367304,,,
AO,0.711864407,,,
AP,0.627906977,,,
AQ,0.761481481,,,
AR,0.66848816,,,
AS,0.724242424,,,
AT,0.647601476,,,
AU,0.868181818,,,
A,0.742021277,,,
